interconnector_1_price,interconnector_2_price,interconnector_3_price,interconnector_4_price,interconnector_5_price,interconnector_6_price
112.1,112.1,111.3,112.1,36.9,112.1
111.7,111.7,111.3,111.7,36.9,111.7
111.2,111.1,111.0,111.1,36.9,111.1
111.0,111.0,110.9,111.0,36.9,111.0
110.8,110.8,110.8,110.8,36.9,110.8
110.8,110.8,91.4,110.8,36.9,110.8
112.1,112.1,111.3,112.1,36.9,112.1
112.5,112.5,112.5,112.5,36.9,112.5
112.5,112.5,112.5,112.5,36.9,112.5
112.1,112.1,112.1,112.1,36.9,112.1
112.1,112.1,112.1,112.1,36.9,112.1
111.9,111.9,111.9,111.9,36.9,111.9
111.7,111.7,111.7,111.7,36.9,111.7
111.7,111.7,111.7,111.7,36.9,111.7
112.1,112.1,112.1,112.1,36.9,112.1
113.2,113.2,113.2,113.2,36.9,113.2
113.2,113.2,113.2,113.2,36.9,113.2
114.0,114.0,114.0,114.0,36.9,114.0
113.7,113.7,113.7,113.7,36.9,113.7
113.2,113.2,113.2,113.2,36.9,113.2
113.2,113.2,113.2,113.2,36.9,113.2
112.1,112.1,112.1,112.1,36.9,112.1
112.1,112.1,112.1,112.1,36.9,112.1
112.1,112.1,112.1,112.1,36.9,112.1
111.0,111.0,111.0,111.0,82.8,111.0
110.7,110.7,110.7,110.7,82.8,110.8
107.0,107.1,107.0,107.0,82.8,107.1
107.0,107.1,107.0,107.0,82.8,107.1
107.0,107.1,107.0,107.0,82.8,107.1
111.1,111.1,82.8,82.8,82.8,111.1
114.8,114.8,82.8,114.8,82.8,114.8
120.0,120.0,111.1,120.0,82.8,120.0
120.0,120.0,119.9,120.0,82.8,120.0
115.4,115.4,115.1,115.4,82.8,115.4
114.8,114.8,114.8,114.8,82.8,114.8
114.8,114.8,111.7,114.8,82.8,114.8
114.8,114.8,111.5,114.8,82.8,114.8
114.8,114.8,111.5,114.8,82.8,114.8
114.8,114.8,111.5,114.8,82.8,114.8
114.8,114.8,111.5,114.8,82.8,114.8
114.8,114.8,111.7,114.8,82.8,114.8
122.2,122.2,119.9,122.2,82.8,122.2
120.0,120.0,119.9,120.0,82.8,120.0
114.8,112.7,112.2,112.3,82.8,114.8
114.8,112.8,111.0,111.0,82.8,113.6
112.3,111.0,111.0,95.3,82.8,111.0
110.9,110.9,86.3,82.8,82.8,110.9
107.0,107.0,82.8,82.8,82.8,107.0
23.9,23.9,23.9,23.9,23.9,23.9
23.9,23.9,23.9,23.9,23.9,23.9
23.9,23.9,23.9,23.9,23.9,23.9
23.9,23.8,23.8,23.9,23.9,23.9
23.9,23.8,23.8,23.9,23.9,23.9
23.9,23.9,23.9,23.9,23.9,23.9
23.9,23.9,23.9,23.9,23.9,23.9
35.8,35.8,35.8,35.8,23.9,35.8
35.8,35.8,35.8,35.8,23.9,35.8
35.8,35.8,35.8,35.8,23.9,35.8
35.8,35.8,35.8,35.8,23.9,35.8
35.8,35.8,35.8,35.8,23.9,35.8
35.8,35.8,35.8,35.8,23.9,35.8
35.8,35.8,35.8,35.8,23.9,35.8
35.8,35.8,35.8,35.8,23.9,35.8
35.8,35.8,35.8,35.8,23.9,35.8
35.8,35.8,35.8,35.8,23.9,35.8
35.8,35.8,35.8,35.8,23.9,35.8
35.8,35.8,35.8,35.8,23.9,35.8
35.8,35.8,35.8,35.8,23.9,35.8
35.8,35.8,35.8,35.8,23.9,35.8
32.7,35.8,35.8,32.7,23.9,35.8
23.9,35.8,35.8,23.9,23.9,35.8
23.9,35.8,35.7,23.9,23.9,35.8
2.4,12.1,2.4,2.4,2.4,12.1
2.4,12.1,2.4,2.4,2.4,12.1
2.4,9.0,2.4,2.4,2.4,12.1
2.4,9.0,2.4,2.4,2.4,9.0
