interconnector_1_price,interconnector_2_price
74.6,79.37
40.64,72.19
65.4,57.48
28.62,61
78.3,26.96
7.49,3.75
46.26,32.31
34.85,83.5
38.07,42.1
64.74,55.36
61.15,75.07
79.87,37.57
47.12,45.77
27.01,55.6
42.1,44.39
31.26,18.94
74.07,42.34
18.95,13.19
93.32,89.65
73.67,38.31
26.46,59.81
18.43,26.5
38.17,29.34
7.84,95.6
24.42,27.69
24.02,82.15
35.92,33.77
51.43,13.62
1.6,76.15
42.83,80.16
23.96,16.24
26.94,31.06
69.42,94.33
98.16,78.09
84.5,38.93
48.65,78.43
66.79,70.74
75.67,46.46
16.18,66.48
77.11,2.82
19.16,64.87
54.84,59.71
6.36,87.32
54.79,69.79
9.14,22.38
1.7,59.42
41.17,32.51
53.84,66.87
19.4,67.95
39.33,92.5
24.92,52.62
92.6,54.98
24.78,87.48
2.11,98.21
29,26.83
72.29,3.6
98.71,34.88
21.7,43.59
18.63,54.46
24.91,46.64
14.41,96.11
9.01,70.83
37.93,12.07
4.99,98.46
81.04,52.11
73.42,46.02
15.54,78.47
60.88,82.47
61.48,84.71
71.55,10.98
57.89,30
44.35,37.63
88.75,66.58
63.18,81.52
56.14,84.1
24.97,71.2
24.09,64.77
4.83,81.96
31.13,53.2
63.58,1.2
94.07,15.82
0.09,82.42
91.21,62.89
74.75,40.73
87.42,72.51
22.3,94.95
8.47,90.18
7.8,42.01
33.39,49.01
23.54,38.29
82.82,51.67
42.78,41.98
87.09,85.08
0.41,87.01
30.45,4.99
88.88,61.17
93.51,34.62
90.67,45.08
9.88,94.24
82.58,53.48
62.82,54.88
56.43,70.21
84.99,4.91
94.85,25.56
54.64,64.95
97.13,49.81
97.18,16.3
64.62,42.15
98.6,41.62
25.23,95.04
26.05,19.78
56.26,40.36
91.58,21.89
25.86,92.04
8.25,7.54
4.68,70.24
54.28,40.96
29.43,75.26
11.56,22.85
82.04,56.08
9.95,51.18
34.38,17.73
48.15,99.11
47.39,3.92
94.29,34.3
72.96,63
59.12,13.11
34.5,79.17
0.17,10.33
70.58,41.32
71.59,88.25
10.51,19.08
17.77,95.01
31.75,70.71
39.85,69.23
33.55,44.29
78.23,12
43.04,3.73
57.28,4.39
63.19,56.66
89.7,76.26
64.73,72.32
44.85,99.37
9.41,48.08
80.39,12.9
35.93,48.84
24.56,73.21
5.17,93.96
61,86.18
53.18,40.83
84.98,99.83
64.53,22.04
7.77,7.64
94.82,63.12
52.04,55.61
69.95,89.12
46.09,39.82
48.75,78.79
59.94,61.65
88.68,68.84
65.88,49.69
8.15,33.03
32.59,96.91
41.21,21.28
78.64,94.36
70.86,26.67
22.49,13.77
52.65,45.19
47.53,9.71
93.85,15.01
24.95,4.54
84.07,10.74
13.5,94.38
80.62,85.7
30.94,35.66
51.71,35.42
11.4,20.6
27.83,58.19
21.11,96.02
96.38,3.84
91.75,38.64
8.66,92.37
46.26,61.09
72,7.88
46.38,44.29
44.29,90.93
19.19,15.87
26.48,53.9
85.93,81.78
89.69,61.03
41.58,7.57
16.53,48.23
14.65,54.04
74.62,19.47
80.3,36.99
74.63,39.59
49.98,58.47
43.98,43.47
3.2,91.99
91.24,93.77
48.95,62.78
60.06,52.16
23.17,61.32
74.4,71.37
9.44,91.49
12.64,99.76
9.14,72.93
8.98,93.03
90.63,62.09
59.98,80.64
17.14,82.55
99.25,93.15
40.73,31.14
10.04,18.12
32.11,80.05
52.84,3.37
49.87,88.45
20.95,96.96
53.97,52.04
13.54,99.15
76.8,31.39
15.91,30.09
69.02,89.1
56.04,57.91
82.87,53.48
87.17,87.35
32.27,13.94
2.88,76.83
37.02,72.61
98.51,66.44
68.14,29.31
53.26,71.83
43.72,46.06
98.37,37.89
21.73,48.86
49.42,76.96
58.18,21.03
72.95,46.19
38.48,25.67
67.73,88.24
22.93,26.33
53.68,83.7
83.7,5.46
96.69,6.08
89.48,81.47
26.44,41.77
94.65,51.87
18.78,8.85
51.16,46.06
62.76,92.86
90.32,15.1
69.71,28.58
52.72,58.53
93.98,98.23
1.36,22.51
6.68,55
32.98,48.25
62.77,75.87
46.41,26.22
15.5,30.38
6.36,64.21
94.5,83.25
51.37,73.16
83.42,0.1
14.7,45.59
6.55,7.45
37.14,3.36
37.2,56.27
15.64,52.59
97.68,26.1
89.65,54.32
47.63,89.39
95.14,92.3
89.23,52.39
90.73,27.16
3.05,82.84
70.84,65.2
58.15,31.38
29.12,63.46
67.1,88.08
57.03,36.59
48.86,28.56
18.2,70.45
97.9,90
66.16,20.41
11.6,50.81
81.52,91.24
67.01,27.57
73.81,95.1
97.16,7.51
77.16,31.07
76.12,21.34
27.45,97.44
81.55,29.16
52.57,21.79
4.67,69.94
59.67,50.76
10.02,83.81
38.05,86.54
5.66,84.47
35.11,80.49
55.95,37.45
63.81,65.1
43.32,39.57
72.07,15.07
92.17,57.15
27.16,40.18
32.05,28.25
77.21,77.66
46.05,26.77
95.59,70.93
39.04,42.32
75.32,17.15
35.35,91.13
97.9,46.88
93.28,63.83
7.3,28.55
55.84,89.87
63.66,0.72
50.51,92.07
39.3,60.39
76.19,3.04
9.07,11.7
23.66,4.08
91.37,38.13
87.99,8.4
5.53,3.94
16.56,63.05
65.63,58.67
44.68,29.01
91.03,52.17
58.01,70.75
57.56,3.58
41.48,56.66
61.72,33.21
28.52,13.06
54.38,64.39
48.8,2.64
40.5,7.62
41.26,23.73
22.11,15.11
28.98,97.57
83.31,0.77
80.04,84.38
61.3,68.21
27.75,33.51
24.95,84.9
16.18,4.58
32.57,2.66
45.1,7.06
8.83,18.57
54.5,81.42
51.06,16.26
18.09,6.93
79.85,42.86
10.79,9.56
9.14,47.23
6.73,32.22
61.2,22.43
99.45,65.45
56.38,48.69
30.57,24.87
67.59,77.88
30.95,95.34
26.32,30.79
66.4,73.62
40.57,83.78
17.01,88.1
40.05,25.65
45.61,80.91
28.95,59.91
24.53,19.91
70.67,22.27
55.15,63.21
42.24,15.34
44.84,63.91
56.89,95.61
84.45,7.32
15.51,86.79
18.35,79.91
18.46,98.5
80.56,14.89
78.29,43.19
61.86,50.46
61.72,74.09
29.28,21.84
29.19,90.39
54.65,90.55
64.15,32.18
82.51,83.69
57.21,85.99
13.89,33.45
78.62,16.81
93.99,88.01
13.61,21.04
87.72,45.27
6.99,8.46
68.64,69.13
75.27,18.61
57.33,62.5
62.56,52.76
76.6,10.73
53.28,17.79
29.52,22.87
95.82,3.02
50.25,59.51
60.07,8.46
8.81,26.89
23.14,71.39
95.37,44.28
72.4,75.37
84.99,83.68
8.29,0.05
70.77,62.49
97.47,25.33
11.2,97.47
59.11,24.56
77.66,52.99
99.64,48.74
10.01,3.48
49.19,64.57
60.14,85.78
21.24,93.19
68.85,51.09
9.2,48.83
86.26,48.03
85.88,25.34
92.82,26.65
81.65,21.74
72.75,97.59
9.71,82.26
0.92,31.87
75.95,79.17
83.76,25.51
69.7,56.05
71.85,35.75
5.36,3.04
11.26,60.13
38.31,96.52
0.92,0.75
6.72,23.47
14.66,33.66
78.01,91.13
74.16,90.45
71.65,47.09
67.79,69.11
98.39,68.21
92.25,17.29
68.74,21.23
61.81,2.84
41.97,31.63
37.48,70.93
8.73,58.83
95.44,75.51
37.41,49.23
98.31,40.08
45.31,31.66
33.43,7.02
60.84,89.62
85.43,73.93
10.85,73.47
65.24,54.88
33.66,83.95
11.19,59.03
26.83,19.17
38.54,19.52
39.44,45.86
24.38,89.64
66.28,71.24
43.92,21.44
37.9,13.21
54.55,68.21
59.95,64.77
92.16,26.42
67.27,19.27
27.05,67.03
4.8,2.01
25.18,68.98
92.82,57.09
81.52,51.23
6.09,61.56
47.69,74.83
55.38,8.91
55.18,65.31
93.07,54.09
0.56,68.09
51.57,7.34
67.82,78.78
76.44,87.41
82.94,81.32
55.1,54.19
68.51,92.29
2.93,83.64
32.94,35.75
9.96,19.58
73.3,42.32
2.27,54.41
49.44,21.26
91.93,92.78
89.77,27.99
83.58,4.33
82.34,23.33
57.61,46.1
65.35,21.49
24.41,46.26
7.68,10.31
92.92,7.76
31.15,79.8
89.8,41.55
84.7,88.25
1.74,92.24
27.58,86.77
7.54,17.73
69.36,39.54
45.92,51.28
20.87,79.46
36.88,99.13
10.79,11.61
12.19,40.72
2.42,28.2
67.39,81.36
14.53,31.98
58.34,40.05
11.29,91.29
43.97,59.56
84.16,55.42
94.56,57.83
67.34,63.39
56.41,95.28
58.32,1.14
25.23,51.61
29.11,15.61
8.15,65.97
7.36,35.07
28.11,37.62
87.91,38.28
44.04,47.02
66.94,23.33
84.08,80.67
60.17,73.73
19.64,23.69
10.1,3.31
39.06,45.95
33.44,46.26
85.96,89.32
45.2,55.4
10.05,8.52
56.71,98.59
12.59,32.71
59.75,60.48
64.66,3.73
97.91,43.77
68.69,74.28
38.6,47.07
98.41,2.14
79.94,87.02
24.76,26.88
20.24,63.52
46.69,41.25
23.18,93.02
99.09,97.42
59.58,54.37
54.47,19.99
49.31,49.73
1.16,40.54
47.58,67.64
88.44,35.06
58.04,49.4
65.64,19.74
64.39,14.92
47.01,99.04
57.44,44.97
13.2,74.93
84.87,70.24
41.16,61.33
53.84,17.78
71.48,8.33
21.32,81.85
93.59,70.51
64.93,22
44.8,46.21
67.08,35.53
29.96,75.55
38.29,60.3
2.46,14.16
44.11,81.86
28.11,82.75
90.93,42.84
74.46,76.69
12.35,77.32
5.04,46.87
25.1,0.45
61.44,18.29
7.26,72.88
60.24,4.25
66.23,34.09
79.06,77.12
22.62,20.79
22.86,5.07
35.23,33.08
83.18,92.5
25.69,92.81
60.26,88.72
87.39,18.75
94.44,63.6
71.79,48.51
31.81,69.99
97.11,35.36
29.72,95.96
81.44,41.02
82.93,41.61
99.84,5.95
93.19,70.24
55.8,67.75
15.62,48.96
17.46,26.02
77.97,57.81
92.43,77.12
46.43,65.51
98.02,62.65
76.19,29.86
18.63,40.56
64.97,39.1
8.6,6.96
49.05,55.16
12.62,51.92
11.34,37.24
32.6,79.42
90.95,26.55
62.22,44.26
90.79,98.56
13.17,67.05
5.5,81.89
76.77,60.59
63.21,10.34
77.53,80.26
76.36,64.36
14.49,40.15
0.75,54.12
85.59,21.63
30.41,32.26
56.15,97.39
32.98,66.75
35.33,69.57
11.55,47.33
91.24,9.04
41.86,85.5
71.17,21.09
0.89,31.17
71.17,44.31
51.08,26.37
0.99,73.99
31.19,61.64
34.44,55.96
9.31,45.44
95.84,44.28
91.89,66.22
94.34,94.96
85.98,63.17
81.75,67.73
11.29,35.73
79.7,42.9
51.5,45.28
97.56,43.12
27.83,28.22
41.85,71.55
41.72,5.37
45.76,58.61
35.58,71.5
70.52,52.84
70.08,38.22
50,59.44
17.88,68.8
19.52,23.72
63.67,34.25
35.93,63.3
74.73,4.31
88,94.63
41.99,30.59
41.35,52.15
98.07,61.79
14.39,71.17
31.81,8.13
61.47,22.15
76.27,40.34
10.42,60.72
71.14,38.34
77.02,3.91
17,73.01
0.58,76.76
34.49,27.59
37.11,65.18
54.56,35.49
7.83,58.84
65.98,30.67
2.23,60.78
86.88,26.16
8.77,13.74
72.11,82.19
58.13,7
27.84,25.5
12.96,24.91
79.76,1.75
26.9,78.14
94.81,94.93
46.06,17.54
28.37,15
52.93,85.99
89.82,83.26
59.67,63.42
34,14.36
27.92,77.05
9.19,41.96
36.3,63.64
15.77,49.57
1.66,16.62
20.75,62.35
89.6,32.14
43.04,14.94
19.51,70.78
39.86,2.75
44.49,7.31
68.09,42.2
24.42,34.45
80.2,14.76
70.12,2.79
79.11,46.42
29.38,2.16
1.35,57.85
98.07,94.77
66.3,70.48
20.29,56.25
71.62,92.55
70.68,5.17
3.12,80.69
52.14,77.23
66.12,94.22
56.84,92.83
68.99,14.65
8.9,45.17
42.73,70.59
9,67.4
61,2.73
52.2,45.87
45.23,55.74
14.82,13.15
9.98,2.6
23.69,74.58
8.38,80.28
37.85,69.06
60.17,26.73
7.82,96.09
87.35,81.46
57.34,82.76
55.05,89.08
43.39,23.13
42.87,36.57
49.18,27.67
56.18,67.17
56.17,81.25
79.2,15.23
57.59,83.31
94.15,66.6
3.92,87.65
49.85,24.81
36.11,58.3
19.01,29.96
17.48,29.72
9.92,48.87
24.22,31.16
54.98,64.33
29.08,22.02
75.84,28.44
59.04,53.15
23.08,50.15
82.93,91.66
48.56,91.58
95.37,85
72.45,0.68
18.45,90.06
41.37,92.61
66.43,93.72
90.58,41.63
1.63,16.48
38.71,99.34
62.71,40.32
97.06,57.93
46.77,86.25
70.86,53.25
53.21,16.79
10.88,34.09
57.74,22.62
56,85.07
89.83,5.73
12.71,44.44
45.97,68.12
74.77,95.76
99.95,44.68
65.62,22.36
27.38,19.88
17.21,29.59
8.72,75.32
52.66,97.23
23.81,77.86
77.95,69.12
8.22,81.32
19.79,64.78
17.69,21.48
6.84,46.81
6.47,54.97
44.6,89.76
48.81,54.86
19.73,61.57
76.77,66.73
59.98,35.87
46.25,19.66
13.93,3.28
6.26,37.22
8.9,24.88
52.23,74.64
8.3,90.22
25.85,78.14
7.1,41.99
98.82,86.25
85.66,64.81
6.9,10.75
13.16,97.64
4.99,6.99
93.31,40.66
87.24,50.54
27.81,90.56
0.92,21.41
34.85,77.76
51.17,0.54
14.41,62.85
93.11,8.66
90.22,40
81.46,23.08
60.2,67.95
50.49,96.18
71.95,17.56
72.48,3.42
18.02,62.64
37.12,54.01
70.3,8.65
84.68,64.17
30.13,16.23
64.81,2.55
5.84,93.73
89.3,26.05
10.17,64.13
36.05,46.57
51.58,41.91
25.22,23.87
76.21,45.57
62.03,24.12
63.78,82.35
67.49,37
54.33,77.18
42.77,88.75
22.86,81.45
3.7,93.2
49.64,41.15
39.6,12.38
0.92,63.08
40.94,39.12
84.35,5.77
82.5,23.7
48.6,62.07
97.88,71.96
72.64,88.86
34.88,15.25
91.64,55.48
96.37,37.47
1.75,19.52
54.83,6.66
82.08,10.16
39.37,50.37
82.63,64.22
97.59,45.12
81.6,38.78
93.92,50.71
32.94,47.52
76.74,10.77
78.57,35
52.56,8.85
53.59,13.44
3.8,43.57
54.02,61.82
10.34,25.4
99.92,2.21
50.17,47.99
25.06,52.53
54.58,38.6
17.06,33.29
7.51,83.32
30.07,14.22
42.45,16.22
35.37,58.61
82.5,24.05
75.76,30.79
63.57,85.65
77.42,7.54
58.1,71.79
75.64,4.79
61.89,55.32
47.38,60.43
56.92,81.61
62.43,13.1
90.25,24.76
57.19,20.25
34.51,99.82
93.99,66.23
95.71,1.1
87.55,27.15
92.54,97.56
90.91,23.36
1.75,73.7
74.35,55.83
69.68,68.03
68.94,4.35
46.47,16.5
75.78,89.93
15.78,41.24
25.96,71.43
51.98,57.45
98.99,72.04
73.17,33.37
35.56,40.31
45.89,90.93
8.55,69.12
21.23,7.36
2.17,10.65
60.53,74.01
59.48,97.48
55.93,85.04
23.35,47.52
37.92,19.29
68.15,93.05
72.33,60.86
52.04,76.73
28.26,59.29
28.66,69.47
93.52,59.73
24.75,40.45
74.49,69.38
60.37,32.74
25.23,76.47
82.4,2.77
18.71,97.19
88.41,58.92
17.27,19.81
88.25,10.74
18.52,50.9
68.39,90.29
31.84,50.36
99.01,13.44
93.21,21.7
41.09,80.37
17.87,46.67
39.24,12.13
96.84,25.88
29.51,79.97
8.18,61.2
95.91,91.95
70.31,41.66
86.54,30.79
37.78,6.11
72.16,75.98
98.59,21.47
25.59,79.69
90.25,97.88
4.87,95.61
83.46,12.54
83.82,27.63
71.44,12.89
84.74,48.48
37.26,21.64
69.65,42.28
73.83,63.39
57.66,38.42
36.35,98.47
25.48,62.33
66.37,92.55
88.27,90.49
75.74,15.35
80.45,95.29
80.32,32.23
53.02,52.58
0.01,4.99
25.62,98.08
58.03,14
54.28,74.46
49.73,39.55
31.78,57.95
59.74,0.99
50.77,17.54
57.06,41.42
22.61,85.53
91.69,19.87
20.86,23.46
9.2,74.03
53.06,36.83
9.27,4.57
86.27,61.61
18.84,66.66
45.61,86.15
19.89,26.9
65.83,20.2
43.96,80.3
55.2,52.15
89.45,55.79
30.56,74.2
29.77,73.43
65.9,65.14
84.82,28.22
13.86,2.49
4.38,26.85
33.41,5.27
63.46,38.19
39.31,5.81
24.69,82.75
19.2,40.81
55.79,83.13
89.21,77
85.92,49.1
18.52,24.92
32.64,1.04
95.64,81.19
82.91,66.96
78.1,52.85
37.77,79.36
15.22,10.58
87.12,78.13
70.71,56.15
18.87,47.88
14.94,0.23
47.58,19.81
88.83,52.73
43.98,84.07
20.46,73.27
77.61,26.33
43.34,7.13
80.45,53.17
7.98,96.22
26.16,98.18
12.44,54.72
80.55,92.1
42.27,10.17
85.63,44.77
75.42,84.85
99.92,41.78
1.76,23
13.39,37.7
27.33,1.1
84.16,79.66
96.77,90.6
54.55,79.38
39.37,57.98
44.85,46.18
85.54,38.44
23.69,69.61
71.32,88.84
59.31,73.69
11.37,99.74
0.01,22.22
45.21,65.45
78.48,92.98
53.84,36.78
85.51,30.5
44.07,84.03
18.67,18.68
97.65,88.33
80.15,77.97
21.11,43.71
85.59,96.79
82.61,23.56
81.47,43.77
31.46,69.42
66.95,46.48
85.66,21.02
24.41,39.73
54.39,42.38
37.4,51.36
60.79,10.37
82.18,6.6
18,0.97
36.81,56.52
64.92,29.67
83.21,6.74
54.97,0.6
55.74,38.35
96.31,64.78
5.8,8.8
8.11,63.26
12.96,35.09
57.24,75.82
20.01,9.18
20.96,96.78
13.59,5.06
50.98,19.62
53.18,14.14
70.78,27.08
67.51,62.44
29,51.92
47.79,99.85
30.23,24.25
57.16,18.94
22.87,12.46
59.18,85.06
89.49,54.66
63.09,39.54
50.54,2.26
6.17,7.87
44.23,40.58
77.55,33.29
9.95,97.2
22.8,52.3
79.71,81.8
19.49,54.9
68.45,69.82
58.06,93.58
62.72,43.02
58.47,80.74
92.92,28.77
30.33,62.47
81.76,4.52
31.87,29.32
61.58,28.26
2.92,74.5
20.7,19.67
46.39,49.54
85.57,58.23
94.88,57.89
18.38,95.1
27.14,15.43
21.98,51.64
68.97,96.13
58.51,76.46
65.97,69.91
58.77,84.51
52.47,65.36
29.29,27.36
