interconnector_1_price,interconnector_2_price,interconnector_3_price,weather/wind_offshore_baseline,weather/wind_inland_baseline,weather/solar_pv_profile_1
0.020330606,21.49531192,0.034130709,0.630420795,0.357431873,0
0,21.49531192,0.017065355,0.410006059,0.353455161,0
0,21.49531192,0.017065355,0.511864296,0.360637059,0
0,21.49531192,0.017065355,0.242545438,0.361763077,0
0,21.49531192,0.017065355,0.200473438,0.35276738,0
0,21.49531192,0.017065355,0.393402673,0.343105107,0
0,21.49531192,0.017065355,0.317501918,0.330643309,0
0.020330606,21.49531192,0.017065355,0.291919451,0.307020596,0
0.040661213,21.49531192,0.034130709,0.393294036,0.270537491,0
28.70681624,21.49531192,24.11334613,0.489443606,0.238728252,0.000234073
28.70681624,21.49531192,24.11334613,0.694298889,0.225866939,0.025206799
28.74747746,21.49531192,24.11334613,0.708040481,0.209539372,0.0713789
28.74747746,21.49531192,24.11334613,0.273787034,0.170631057,0.104486044
28.74747746,21.49531192,24.13041148,0.301885104,0.13936691,0.107181137
28.76780806,21.49531192,24.13041148,0.555551949,0.125550541,0.091796404
28.80846928,21.49531192,24.14747684,0.407286797,0.116558823,0.064599191
28.84913049,21.49531192,24.18160755,0.136615217,0.109020219,0.028442012
28.84913049,21.49531192,24.18160755,0.110806148,0.106825975,0.001667248
81.68837654,28.66041589,68.5344643,0.059833791,0.119203506,0
83.07085777,21.49531192,69.69490841,0.043857851,0.136627112,0
83.07085777,21.49531192,69.69490841,0,0.152348001,0
83.05052717,21.49531192,69.69490841,0.018934624,0.184392815,0
28.78813867,21.49531192,24.14747684,0.063211843,0.260315283,0
28.72714685,21.49531192,24.13041148,0.142922737,0.393315244,0
28.70681624,21.49531192,24.11334613,0.233058803,0.559742172,0
0,21.49531192,24.09628077,0.584811133,0.74105196,0
0,21.49531192,0,0.933209326,0.869706426,0
0,21.49531192,0,0.884873015,0.968892812,0
0,21.49531192,0,0.88164678,1,0
0,21.49531192,0,0.614027442,1,0
0,21.49531192,0,0.643078333,1,0
0,21.49531192,0,0.714182683,1,0
0,21.49531192,0,0.746856841,1,0
0,21.49531192,0,0.805117523,1,0.000576094
0,21.49531192,0,0.70343803,1,0.06378403
0,21.49531192,0,0.669039147,1,0.165589007
0,21.49531192,0,1,1,0.220494255
0,21.49531192,0,1,1,0.225751027
0,21.49531192,0,1,1,0.192284202
0,21.49531192,0,1,1,0.138572539
