interconnector_1_price,agriculture_electricity,buildings_appliances,buildings_cooling,weather/buildings_heating,electric_buses,electric_trucks,electric_vans,electric_ships,electric_vehicle_profile_1,electric_vehicle_profile_2,electric_vehicle_profile_3,electric_vehicle_profile_4,households_appliances,households_cooling,households_hot_water,industry_ict,industry_other_electricity,weather/agriculture_heating,weather/solar_pv_profile_1,weather/solar_thermal,weather/wind_offshore_baseline,weather/wind_coastal_baseline,weather/wind_inland_baseline
26,3.0273E-08,3.01999E-08,3.01999E-08,6.16389E-08,1.8348E-08,0.00E+00,0.00E+00,2.93027E-08,0.00E+00,5.80E-09,1.88E-08,0.00E+00,2.79381E-08,2.79381E-08,9.36428E-08,3.38887E-08,3.02767E-08,6.16389E-08,0,0,0.688506099,0.357459,0.357459
26,4.19915E-08,4.18902E-08,4.18902E-08,5.71965E-08,2.56482E-08,0.00E+00,0.00E+00,2.93027E-08,0.00E+00,2.24E-08,5.34E-08,0.00E+00,3.18494E-08,3.18494E-08,5.45085E-08,3.41665E-08,4.20818E-08,5.71965E-08,0,0,0.700898499,0.350211,0.350211
26,4.47817E-08,4.46736E-08,4.46736E-08,5.83071E-08,2.92865E-08,0.00E+00,0.00E+00,2.93027E-08,0.00E+00,3.18E-08,2.74E-08,0.00E+00,3.43638E-08,3.43638E-08,2.94959E-08,3.41665E-08,4.47206E-08,5.83071E-08,0.041520258,0,0.726994799,0.366366,0.366366
26,4.63162E-08,4.62045E-08,4.62045E-08,6.30272E-08,2.42163E-08,0.00E+00,0.00E+00,2.93027E-08,1.09E-09,2.20E-08,5.48E-08,0.00E+00,3.5202E-08,3.5202E-08,2.97975E-08,3.38887E-08,4.62483E-08,6.30272E-08,0.09834845,0,0.6826591,0.316197,0.316197
25,4.68743E-08,4.67611E-08,4.67611E-08,6.30272E-08,3.338E-08,0.00E+00,0.00E+00,3.61705E-08,9.12E-09,2.92E-08,6.64E-08,0.00E+00,3.57608E-08,3.57608E-08,3.00893E-08,3.38887E-08,4.69427E-08,6.30272E-08,0.164907422,0,0.856747199,0.387264,0.387264
25,4.36656E-08,4.35602E-08,4.35602E-08,6.33048E-08,2.694E-08,0.00E+00,0.00E+00,3.84598E-08,1.50E-08,3.50E-08,1.24E-07,0.00E+00,3.77164E-08,3.77164E-08,3.03449E-08,3.38887E-08,4.37484E-08,6.33048E-08,0.195145414,0,0.932991899,0.496553,0.496553
25,4.49212E-08,4.48128E-08,4.48128E-08,6.27495E-08,2.82449E-08,0.00E+00,0.00E+00,3.84598E-08,1.12E-08,3.66E-08,2.17E-08,0.00E+00,3.68783E-08,3.68783E-08,3.05382E-08,3.36109E-08,4.49983E-08,6.27495E-08,0.169638856,0,0.936211199,0.635015999,0.635015999
25,4.49212E-08,4.48128E-08,4.48128E-08,5.9973E-08,3.07762E-08,0.00E+00,0.00E+00,3.84598E-08,5.60E-09,3.67E-08,3.47E-08,0.00E+00,3.65989E-08,3.65989E-08,3.06481E-08,3.36109E-08,4.49983E-08,5.9973E-08,0.114459118,0,0.929523799,0.707758999,0.707758999
25,4.31076E-08,4.30036E-08,4.30036E-08,5.49753E-08,2.18697E-08,0.00E+00,0.00E+00,5.15711E-08,5.11E-09,3.84E-08,2.31E-08,0.00E+00,3.63195E-08,3.63195E-08,3.06623E-08,3.38887E-08,4.31928E-08,5.49753E-08,0,0,0.955120099,0.696570999,0.696570999
26,3.80853E-08,3.79934E-08,3.79934E-08,4.80339E-08,2.86129E-08,0.00E+00,0.00E+00,5.59416E-08,1.22E-08,4.33E-08,0.00E+00,0.00E+00,4.19071E-08,4.19071E-08,3.05791E-08,3.44443E-08,3.80541E-08,4.80339E-08,0,0,0.960690999,0.663426999,0.663426999
25,3.0273E-08,3.01999E-08,3.01999E-08,4.22032E-08,3.05943E-08,0.00E+00,0.00E+00,5.59416E-08,2.57E-08,6.09E-08,0.00E+00,0.00E+00,5.83906E-08,5.83906E-08,3.04083E-08,3.44443E-08,3.02767E-08,4.22032E-08,0,0,0.962572699,0.681053999,0.681053999
14.48,2.62273E-08,2.6164E-08,2.6164E-08,3.63725E-08,5.16847E-08,0.00E+00,0.00E+00,5.59416E-08,4.85E-08,7.84E-08,4.17E-08,0.00E+00,5.97875E-08,5.97875E-08,3.82236E-08,3.38887E-08,2.6249E-08,3.63725E-08,0,0,0.964660299,0.688562999,0.688562999
14.46,2.58088E-08,2.57465E-08,2.57465E-08,3.41513E-08,6.32602E-08,0.00E+00,0.00E+00,5.59416E-08,5.05E-08,5.85E-08,0.00E+00,0.00E+00,5.53174E-08,5.53174E-08,4.9174E-08,3.33332E-08,2.58324E-08,3.41513E-08,0,0,0.965555699,0.716395999,0.716395999
0.01,2.49717E-08,2.49114E-08,2.49114E-08,3.69278E-08,7.14237E-08,0.00E+00,0.00E+00,5.29447E-08,5.22E-08,5.26E-08,7.03E-08,0.00E+00,5.02886E-08,5.02886E-08,4.13803E-08,3.24998E-08,2.49991E-08,3.69278E-08,0,0,0.965874199,0.746432999,0.746432999
14.46,2.27396E-08,2.26847E-08,2.26847E-08,3.63725E-08,6.185E-08,0.00E+00,0.00E+00,4.39541E-08,3.86E-08,4.95E-08,2.41E-08,0.00E+00,4.60978E-08,4.60978E-08,2.92989E-08,3.13887E-08,2.27769E-08,3.63725E-08,0,0,0.966427999,0.765093999,0.765093999
0.01,2.0368E-08,2.03188E-08,2.03188E-08,3.3596E-08,5.95818E-08,0.00E+00,0.00E+00,4.39541E-08,2.82E-08,3.87E-08,3.93E-08,0.00E+00,4.02308E-08,4.02308E-08,2.88733E-08,2.97221E-08,2.04159E-08,3.3596E-08,0,0,0.966258699,0.806326999,0.806326999
0.01,3.48767E-08,3.47925E-08,3.47925E-08,2.69323E-08,5.7686E-08,0.00E+00,0.00E+00,4.39541E-08,2.09E-08,3.62E-08,0.00E+00,0.00E+00,3.49226E-08,3.49226E-08,0,2.91665E-08,3.47209E-08,2.69323E-08,0,0,0.967030099,0.840406999,0.840406999
0,3.26446E-08,3.25658E-08,3.25658E-08,3.88714E-08,7.29731E-08,6.32E-09,6.32E-09,4.94484E-08,1.61E-08,2.87E-08,0.00E+00,2.90E-12,2.9335E-08,2.9335E-08,0,2.77776E-08,3.24988E-08,3.88714E-08,0,0,0.966784499,0.855403999,0.855403999
0,3.30631E-08,3.29833E-08,3.29833E-08,3.49843E-08,4.00542E-08,1.60E-10,1.60E-10,5.12798E-08,1.72E-08,2.18E-08,6.19E-09,6.13E-12,2.40268E-08,2.40268E-08,0,2.77776E-08,3.29154E-08,3.49843E-08,0,0,0.966905699,0.864124999,0.864124999
0,3.22261E-08,3.21483E-08,3.21483E-08,3.38736E-08,2.75681E-08,1.06E-10,1.06E-10,5.12798E-08,7.18E-09,1.36E-08,0.00E+00,1.10E-11,2.09536E-08,2.09536E-08,0,2.77776E-08,3.20821E-08,3.38736E-08,0,0,0.967223599,0.879990999,0.879990999
0,3.1947E-08,3.18699E-08,3.18699E-08,3.52619E-08,3.84433E-08,5.50E-11,5.50E-11,5.12798E-08,7.48E-09,9.03E-09,0.00E+00,2.79E-12,1.95567E-08,1.95567E-08,0,2.77776E-08,3.16655E-08,3.52619E-08,0,0,0.967375799,0.903440999,0.903440999
0,3.29236E-08,3.28441E-08,3.28441E-08,3.85937E-08,2.95067E-08,5.68E-11,5.68E-11,5.12798E-08,1.07E-08,5.85E-09,0.00E+00,5.24E-12,1.87185E-08,1.87185E-08,0,2.80554E-08,3.27766E-08,3.85937E-08,0,0,0.967361199,0.922612999,0.922612999
0.01,3.41792E-08,3.40967E-08,3.40967E-08,4.41468E-08,1.85219E-08,6.52E-11,6.52E-11,5.12798E-08,6.75E-09,1.34E-09,0.00E+00,5.49E-11,1.95567E-08,1.95567E-08,4.42506E-08,2.91665E-08,3.40265E-08,4.41468E-08,0,0,0.966678199,0.941044999,0.941044999
0.01,3.89224E-08,3.88285E-08,3.88285E-08,5.88624E-08,9.28649E-09,2.06E-10,2.06E-10,2.93027E-08,3.95E-09,1.12E-10,1.03E-08,5.59E-09,2.26299E-08,2.26299E-08,8.52308E-08,3.13887E-08,3.87486E-08,5.88624E-08,0,0,0.947532499,0.954927999,0.954927999
0.01,3.22261E-08,3.21483E-08,3.21483E-08,7.91311E-08,1.65335E-08,4.23E-10,4.23E-10,2.93027E-08,0.00E+00,4.68E-09,0.00E+00,8.77E-08,2.76587E-08,2.76587E-08,9.37717E-08,3.36109E-08,3.23599E-08,7.91311E-08,0,0,0.796115999,0.961926999,0.961926999
0.01,4.57582E-08,4.56478E-08,4.56478E-08,7.21897E-08,2.49418E-08,2.08E-09,2.08E-09,2.93027E-08,0.00E+00,1.46E-08,3.17E-08,2.08E-07,3.32463E-08,3.32463E-08,5.45836E-08,3.41665E-08,4.58316E-08,7.21897E-08,0,0,0.4771137,0.964488999,0.964488999
0.01,4.84088E-08,4.8292E-08,4.8292E-08,7.08015E-08,2.77779E-08,5.66E-09,5.66E-09,2.93027E-08,0.00E+00,3.36E-08,0.00E+00,1.84E-07,3.60401E-08,3.60401E-08,2.95365E-08,3.44443E-08,4.84704E-08,7.08015E-08,0,0,0.4684261,0.955783999,0.955783999
30,4.93854E-08,4.92662E-08,4.92662E-08,7.57992E-08,2.52831E-08,6.07E-09,6.07E-09,2.93027E-08,0.00E+00,3.13E-08,0.00E+00,1.28E-07,3.77164E-08,3.77164E-08,2.98384E-08,3.38887E-08,4.94426E-08,7.57992E-08,0,0,0.5319145,0.960184999,0.960184999
0.01,5.00829E-08,4.99621E-08,4.99621E-08,7.63545E-08,3.22316E-08,8.47E-09,8.47E-09,3.61705E-08,0.00E+00,2.84E-08,6.06E-08,9.36E-08,3.7437E-08,3.7437E-08,3.01306E-08,3.38887E-08,5.0137E-08,7.63545E-08,0.001123628,0,0.4954947,0.960028999,0.960028999
0.01,4.65953E-08,4.64828E-08,4.64828E-08,7.66322E-08,2.97605E-08,1.15E-08,1.15E-08,3.84598E-08,4.20E-09,3.37E-08,0.00E+00,8.92E-08,3.93927E-08,3.93927E-08,3.03866E-08,3.36109E-08,4.66649E-08,7.66322E-08,0.000848719,0,0.4796552,0.960252999,0.960252999
0.01,4.85484E-08,4.84312E-08,4.84312E-08,7.52439E-08,3.79142E-08,2.51E-08,2.51E-08,3.84598E-08,1.31E-08,3.91E-08,1.39E-07,7.35E-08,3.85546E-08,3.85546E-08,3.05801E-08,3.33332E-08,4.86093E-08,7.52439E-08,0,0,0.4923403,0.957296999,0.957296999
0,4.81298E-08,4.80137E-08,4.80137E-08,7.21897E-08,2.66211E-08,3.86E-08,3.86E-08,3.84598E-08,1.63E-08,3.57E-08,5.05E-08,5.90E-08,3.79958E-08,3.79958E-08,3.06902E-08,3.33332E-08,4.81927E-08,7.21897E-08,0,0,0.873811799,0.949461999,0.949461999
0.02,4.58977E-08,4.5787E-08,4.5787E-08,6.7192E-08,1.88324E-08,5.05E-08,5.05E-08,5.15711E-08,2.24E-08,4.20E-08,7.79E-08,4.06E-08,3.79958E-08,3.79958E-08,3.07044E-08,3.33332E-08,4.59705E-08,6.7192E-08,0,0,0.967235299,0.956884999,0.956884999
0.01,3.96199E-08,3.95243E-08,3.95243E-08,5.9973E-08,2.42555E-08,5.89E-08,5.89E-08,5.59416E-08,1.26E-08,4.76E-08,8.37E-08,2.23E-08,4.24659E-08,4.24659E-08,3.0621E-08,3.41665E-08,3.95819E-08,5.9973E-08,0,0,0.959940699,0.963229999,0.963229999
0.01,3.0831E-08,3.07566E-08,3.07566E-08,5.60859E-08,3.34102E-08,7.65E-08,7.65E-08,5.59416E-08,3.24E-08,6.08E-08,0.00E+00,1.77E-08,5.81112E-08,5.81112E-08,3.045E-08,3.38887E-08,3.08322E-08,5.60859E-08,0,0,0.933832099,0.962298999,0.962298999
0.01,2.66458E-08,2.65815E-08,2.65815E-08,5.24764E-08,5.19123E-08,1.41E-07,1.41E-07,5.59416E-08,5.78E-08,6.76E-08,3.07E-08,1.53E-08,5.89494E-08,5.89494E-08,3.82759E-08,3.36109E-08,2.65268E-08,5.24764E-08,0,0,0.901718599,0.964375999,0.964375999
0.01,2.58088E-08,2.57465E-08,2.57465E-08,4.88669E-08,6.16045E-08,1.80E-07,1.80E-07,5.59416E-08,5.94E-08,5.23E-08,0.00E+00,1.51E-08,5.47586E-08,5.47586E-08,4.92413E-08,3.27776E-08,2.58324E-08,4.88669E-08,0,0,0.904483499,0.964502999,0.964502999
0.01,2.44137E-08,2.43548E-08,2.43548E-08,5.24764E-08,7.3654E-08,1.68E-07,1.68E-07,5.29447E-08,4.70E-08,5.10E-08,0.00E+00,1.23E-08,5.08473E-08,5.08473E-08,4.14369E-08,3.19443E-08,2.44435E-08,5.24764E-08,0,0,0.930096499,0.963964999,0.963964999
0.01,2.26001E-08,2.25456E-08,2.25456E-08,5.3587E-08,6.60119E-08,1.29E-07,1.29E-07,4.39541E-08,4.38E-08,4.59E-08,0.00E+00,8.90E-09,4.66566E-08,4.66566E-08,2.93389E-08,3.08332E-08,2.26381E-08,5.3587E-08,0,0,0.945262399,0.961245999,0.961245999
0.01,2.0368E-08,2.03188E-08,2.03188E-08,5.442E-08,7.07511E-08,9.20E-08,9.20E-08,4.39541E-08,3.78E-08,3.96E-08,2.89E-08,6.25E-09,4.07896E-08,4.07896E-08,2.89127E-08,2.94443E-08,2.04159E-08,5.442E-08,0,0,0.950059099,0.947935999,0.947935999
0,3.52952E-08,3.521E-08,3.521E-08,4.7201E-08,6.76264E-08,6.40E-08,6.40E-08,4.39541E-08,4.03E-08,3.12E-08,1.44E-08,6.07E-10,3.57608E-08,3.57608E-08,0,2.88887E-08,3.49987E-08,4.7201E-08,0,0,0.951252599,0.941880999,0.941880999
0,3.26446E-08,3.25658E-08,3.25658E-08,3.60949E-08,8.12246E-08,3.74E-08,3.74E-08,4.94484E-08,4.13E-08,2.57E-08,0.00E+00,3.11E-09,2.87762E-08,2.87762E-08,0,2.83332E-08,3.23599E-08,3.60949E-08,0,0,0.953790299,0.937496999,0.937496999
0,3.33421E-08,3.32616E-08,3.32616E-08,3.24854E-08,4.80759E-08,2.81E-08,2.81E-08,5.12798E-08,2.78E-08,1.41E-08,0.00E+00,2.41E-09,2.31886E-08,2.31886E-08,0,2.83332E-08,3.30543E-08,3.24854E-08,0,0,0.957220499,0.944244999,0.944244999
0,3.25051E-08,3.24266E-08,3.24266E-08,3.16524E-08,3.03507E-08,2.10E-08,2.10E-08,5.12798E-08,2.68E-08,7.86E-09,0.00E+00,1.86E-09,2.01154E-08,2.01154E-08,0,2.83332E-08,3.23599E-08,3.16524E-08,0,0,0.967356899,0.952789999,0.952789999
0,3.29236E-08,3.28441E-08,3.28441E-08,3.2763E-08,3.92456E-08,1.69E-08,1.69E-08,5.12798E-08,1.95E-08,5.85E-09,0.00E+00,1.55E-09,1.89979E-08,1.89979E-08,0,2.83332E-08,3.27766E-08,3.2763E-08,0,0,0.967377899,0.953301999,0.953301999
0,3.40397E-08,3.39575E-08,3.39575E-08,3.63725E-08,2.98895E-08,1.35E-08,1.35E-08,5.12798E-08,1.06E-08,3.46E-09,0.00E+00,1.30E-09,1.89979E-08,1.89979E-08,0,2.8611E-08,3.38876E-08,3.63725E-08,0,0,0.967379099,0.947848999,0.947848999
0,3.59927E-08,3.59059E-08,3.59059E-08,4.19256E-08,1.86144E-08,1.11E-08,1.11E-08,5.12798E-08,3.16E-09,1.00E-09,0.00E+00,1.21E-09,1.95567E-08,1.95567E-08,4.43109E-08,2.94443E-08,3.56931E-08,4.19256E-08,0,0,0.967379099,0.938647999,0.938647999
0,4.11545E-08,4.10552E-08,4.10552E-08,5.60859E-08,1.05037E-08,8.94E-09,8.94E-09,2.93027E-08,0.00E+00,6.69E-10,0.00E+00,6.87E-09,2.37474E-08,2.37474E-08,8.53466E-08,3.19443E-08,4.09707E-08,5.60859E-08,0,0,0.967379099,0.944812999,0.944812999
0,3.32026E-08,3.31225E-08,3.31225E-08,7.66322E-08,2.32995E-08,6.90E-09,6.90E-09,2.93027E-08,3.83E-09,7.81E-10,4.04E-08,9.15E-08,2.87762E-08,2.87762E-08,9.38993E-08,3.44443E-08,3.33321E-08,7.66322E-08,0,0,0.967379099,0.944181999,0.944181999
0.01,4.72928E-08,4.71787E-08,4.71787E-08,6.99685E-08,2.75658E-08,5.02E-09,5.02E-09,2.93027E-08,6.57E-09,8.86E-09,4.33E-08,2.12E-07,3.38051E-08,3.38051E-08,5.46576E-08,3.4722E-08,4.73594E-08,6.99685E-08,0,0,0.967379099,0.941852999,0.941852999
0,5.00829E-08,4.99621E-08,4.99621E-08,6.88579E-08,2.66946E-08,6.99E-09,6.99E-09,2.93027E-08,9.67E-09,2.82E-08,1.93E-08,1.82E-07,3.65989E-08,3.65989E-08,2.95766E-08,3.4722E-08,5.0137E-08,6.88579E-08,0.095181498,0,0.967379099,0.941734999,0.941734999
