input,2040_klimaatzaak
electricity_interconnector_11_capacity,0
electricity_interconnector_12_capacity,0
electricity_interconnector_2_capacity,6000
electricity_interconnector_2_co2_emissions_future,0
electricity_interconnector_2_co2_emissions_present,0
electricity_interconnector_2_export_availability,100
electricity_interconnector_2_import_availability,100
electricity_interconnector_3_capacity,700
electricity_interconnector_3_co2_emissions_future,0
electricity_interconnector_3_co2_emissions_present,0
electricity_interconnector_3_export_availability,100
electricity_interconnector_3_import_availability,100
electricity_interconnector_4_capacity,2000
electricity_interconnector_4_co2_emissions_future,0
electricity_interconnector_4_co2_emissions_present,0
electricity_interconnector_4_export_availability,100
electricity_interconnector_4_import_availability,100
electricity_interconnector_5_capacity,700
electricity_interconnector_5_co2_emissions_future,0
electricity_interconnector_5_co2_emissions_present,0
electricity_interconnector_5_export_availability,100
electricity_interconnector_5_import_availability,100
electricity_interconnector_6_capacity,2000
electricity_interconnector_6_co2_emissions_future,0
electricity_interconnector_6_co2_emissions_present,0
electricity_interconnector_6_export_availability,0
electricity_interconnector_6_import_availability,0
electricity_interconnector_7_capacity,1000
electricity_interconnector_7_co2_emissions_future,0
electricity_interconnector_7_co2_emissions_present,0
electricity_interconnector_8_capacity,2000
electricity_interconnector_8_co2_emissions_future,0
electricity_interconnector_8_co2_emissions_present,0
electricity_interconnector_9_capacity,0
energy_biogas_fermentation_share,50
energy_greengas_gasification_dry_biomass_share,0
energy_greengas_gasification_wet_biomass_share,50
energy_heat_distribution_ht_loss_share,15
energy_heat_network_storage_ht_loss_share,30
energy_heat_network_storage_ht_steam_hot_water_output_capacity_share,118
energy_hydrogen_distribution_compressed_trucks_share,1
energy_hydrogen_transport_pipelines_share,99
energy_mixer_for_gas_power_fuel_bio_oil_share,0
energy_mixer_for_gas_power_fuel_crude_oil_share,0
energy_mixer_for_gas_power_fuel_natural_gas_share,100
energy_regasification_lng_share,0
energy_treatment_natural_gas_share,100
external_coupling_biogenic_waste_max_demand,27.84936989
external_coupling_energy_chemical_other_transformation_external_coupling_node_ammonia_input_share,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_ammonia_output_share,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_crude_oil_input_share,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_diesel_output_share,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_electricity_input_share,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_gasoline_output_share,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_greengas_input_share,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_greengas_output_share,3.663510384
external_coupling_energy_chemical_other_transformation_external_coupling_node_heavy_fuel_oil_output_share,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_hydrogen_input_share,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_hydrogen_output_share,42.54475039
external_coupling_energy_chemical_other_transformation_external_coupling_node_kerosene_output_share,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_loss_output_share,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_lpg_output_share,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_methanol_input_share,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_methanol_output_share,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_natural_gas_input_share,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_natural_gas_output_share,53.79173923
external_coupling_energy_chemical_other_transformation_external_coupling_node_not_defined_input_share,100
external_coupling_energy_chemical_other_transformation_external_coupling_node_steam_hot_water_input_share,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_total_demand,133.3435499
external_coupling_energy_chemical_other_transformation_external_coupling_node_waste_mix_input_share,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_wood_pellets_input_share,0
external_coupling_energy_chemical_refineries_transformation_external_coupling_node_ammonia_input_share,0
external_coupling_energy_chemical_refineries_transformation_external_coupling_node_ammonia_output_share,0
external_coupling_energy_chemical_refineries_transformation_external_coupling_node_crude_oil_input_share,100
external_coupling_energy_chemical_refineries_transformation_external_coupling_node_diesel_output_share,42.60900506
external_coupling_energy_chemical_refineries_transformation_external_coupling_node_electricity_input_share,0
external_coupling_energy_chemical_refineries_transformation_external_coupling_node_gasoline_output_share,3.4866058
external_coupling_energy_chemical_refineries_transformation_external_coupling_node_greengas_input_share,0
external_coupling_energy_chemical_refineries_transformation_external_coupling_node_greengas_output_share,0
external_coupling_energy_chemical_refineries_transformation_external_coupling_node_heavy_fuel_oil_output_share,1.154344532
external_coupling_energy_chemical_refineries_transformation_external_coupling_node_hydrogen_input_share,0
external_coupling_energy_chemical_refineries_transformation_external_coupling_node_hydrogen_output_share,0
external_coupling_energy_chemical_refineries_transformation_external_coupling_node_kerosene_output_share,13.0262841
external_coupling_energy_chemical_refineries_transformation_external_coupling_node_loss_output_share,0
external_coupling_energy_chemical_refineries_transformation_external_coupling_node_lpg_output_share,3.059104371
external_coupling_energy_chemical_refineries_transformation_external_coupling_node_methanol_input_share,0
external_coupling_energy_chemical_refineries_transformation_external_coupling_node_methanol_output_share,0
external_coupling_energy_chemical_refineries_transformation_external_coupling_node_natural_gas_input_share,0
external_coupling_energy_chemical_refineries_transformation_external_coupling_node_natural_gas_output_share,0
external_coupling_energy_chemical_refineries_transformation_external_coupling_node_not_defined_input_share,0
external_coupling_energy_chemical_refineries_transformation_external_coupling_node_not_defined_output_share,3.742411146
external_coupling_energy_chemical_refineries_transformation_external_coupling_node_steam_hot_water_input_share,0
external_coupling_energy_chemical_refineries_transformation_external_coupling_node_total_demand,849.7586718
external_coupling_energy_chemical_refineries_transformation_external_coupling_node_waste_mix_input_share,0
external_coupling_energy_chemical_refineries_transformation_external_coupling_node_wood_pellets_input_share,0
external_coupling_energy_chp_supercritical_ccs_waste_mix_captured_co2,100
external_coupling_energy_chp_supercritical_ccs_waste_mix_electrical_efficiency,11.36400574
external_coupling_energy_chp_supercritical_ccs_waste_mix_heat_efficiency,0
external_coupling_energy_chp_supercritical_waste_mix_capacity,98.28649192
external_coupling_energy_chp_supercritical_waste_mix_electrical_efficiency,11.36400574
external_coupling_energy_chp_supercritical_waste_mix_heat_efficiency,0
external_coupling_energy_distribution_coal_gas_chemical_feedstock_share,0
external_coupling_energy_distribution_coal_gas_energy_production_share,99.99
external_coupling_energy_distribution_coal_gas_final_demand_share,0.01
external_coupling_energy_production_synthetic_kerosene_demand,0
external_coupling_energy_production_synthetic_methanol_demand,0
external_coupling_industry_chemical_fertilizers_burner_coal_share,0
external_coupling_industry_chemical_fertilizers_burner_crude_oil_share,0
external_coupling_industry_chemical_fertilizers_burner_hydrogen_share,75.7231762
external_coupling_industry_chemical_fertilizers_burner_network_gas_share,24.21906154
external_coupling_industry_chemical_fertilizers_burner_wood_pellets_share,0
external_coupling_industry_chemical_fertilizers_combustion_ccus_capture_potential,100
external_coupling_industry_chemical_fertilizers_combustion_ccus_captured_co2,0
external_coupling_industry_chemical_fertilizers_combustion_ccus_electricity_use,0
external_coupling_industry_chemical_fertilizers_electricity,451.9375182
external_coupling_industry_chemical_fertilizers_non_energetic_coal_share,0
external_coupling_industry_chemical_fertilizers_non_energetic_crude_oil_share,0
external_coupling_industry_chemical_fertilizers_non_energetic_hydrogen_share,100
external_coupling_industry_chemical_fertilizers_non_energetic_network_gas_share,0
external_coupling_industry_chemical_fertilizers_non_energetic_wood_pellets_share,0
external_coupling_industry_chemical_fertilizers_p2h_capacity,0
external_coupling_industry_chemical_fertilizers_processes_ccus_capture_potential,100
external_coupling_industry_chemical_fertilizers_processes_ccus_captured_co2,0
external_coupling_industry_chemical_fertilizers_processes_ccus_electricity_use,0
external_coupling_industry_chemical_fertilizers_residual_heat_share,29.26887469
external_coupling_industry_chemical_fertilizers_steam_hot_water_share,0.057762256
external_coupling_industry_chemical_fertilizers_total_excluding_electricity,84.72953331
external_coupling_industry_chemical_fertilizers_total_useable_heat_share,13.72887882
external_coupling_industry_chemical_other_burner_coal_share,0
external_coupling_industry_chemical_other_burner_crude_oil_share,7.037191658
external_coupling_industry_chemical_other_burner_hydrogen_share,90.63365824
external_coupling_industry_chemical_other_burner_network_gas_share,8.75215E-05
external_coupling_industry_chemical_other_burner_wood_pellets_share,0
external_coupling_industry_chemical_other_ccus_capture_potential,100
external_coupling_industry_chemical_other_ccus_captured_co2,0
external_coupling_industry_chemical_other_ccus_electricity_use,0
external_coupling_industry_chemical_other_electricity,467.7861551
external_coupling_industry_chemical_other_heater_electricity_share,0
external_coupling_industry_chemical_other_heatpump_water_water_electricity_share,0
external_coupling_industry_chemical_other_non_energetic_coal_share,0
external_coupling_industry_chemical_other_non_energetic_crude_oil_share,54.43811788
external_coupling_industry_chemical_other_non_energetic_hydrogen_share,8.048070144
external_coupling_industry_chemical_other_non_energetic_network_gas_share,0
external_coupling_industry_chemical_other_non_energetic_wood_pellets_share,37.51381198
external_coupling_industry_chemical_other_p2h_capacity,540.5570659
external_coupling_industry_chemical_other_residual_heat_share,21.95089049
external_coupling_industry_chemical_other_steam_hot_water_share,2.329062578
external_coupling_industry_chemical_other_steam_recompression_electricity_share,0
external_coupling_industry_chemical_other_total_non_energetic,40.33702538
external_coupling_industry_chemical_other_useable_heat,17.58376579
external_coupling_industry_chemical_refineries_burner_coal_share,0
external_coupling_industry_chemical_refineries_burner_crude_oil_share,0
external_coupling_industry_chemical_refineries_burner_hydrogen_share,98.58963647
external_coupling_industry_chemical_refineries_burner_network_gas_share,1.410363528
external_coupling_industry_chemical_refineries_burner_wood_pellets_share,0
external_coupling_industry_chemical_refineries_ccus_capture_potential,100
external_coupling_industry_chemical_refineries_ccus_captured_co2,100
external_coupling_industry_chemical_refineries_ccus_electricity_use,0.052974882
external_coupling_industry_chemical_refineries_electricity,1481.327543
external_coupling_industry_chemical_refineries_p2h_capacity,332.0347049
external_coupling_industry_chemical_refineries_residual_heat_share,27.08291967
external_coupling_industry_chemical_refineries_steam_hot_water_share,0
external_coupling_industry_chemical_refineries_useable_heat,173.7815636
external_coupling_industry_metal_steel_blastfurnace_bof_share,0
external_coupling_industry_metal_steel_ccus_capture_potential,100
external_coupling_industry_metal_steel_ccus_captured_co2,0
external_coupling_industry_metal_steel_ccus_electricity_use,0
external_coupling_industry_metal_steel_cyclonefurnace_bof_share,0
external_coupling_industry_metal_steel_dri_hydrogen_share,0
external_coupling_industry_metal_steel_dri_network_gas_share,0
external_coupling_industry_metal_steel_efficiency,8.921558379
external_coupling_industry_metal_steel_energetic_coal_gas_share,0
external_coupling_industry_metal_steel_energetic_coal_share,9.640723531
external_coupling_industry_metal_steel_energetic_cokes_share,0
external_coupling_industry_metal_steel_energetic_crude_oil_share,0
external_coupling_industry_metal_steel_energetic_electricity_share,26.14129776
external_coupling_industry_metal_steel_energetic_hydrogen_share,62.36414283
external_coupling_industry_metal_steel_energetic_network_gas_share,1.853835881
external_coupling_industry_metal_steel_energetic_steam_hot_water_share,0
external_coupling_industry_metal_steel_energetic_wood_pellets_share,0
external_coupling_industry_metal_steel_external_coupling_share,100
external_coupling_industry_metal_steel_fixed_om_costs,313383272.7
external_coupling_industry_metal_steel_investment_costs,4228475851
external_coupling_industry_metal_steel_scrap_hbi_eaf_share,0
external_coupling_industry_metal_steel_technical_lifetime,19
external_coupling_industry_metal_steel_total_demand,100
external_coupling_industry_metal_steel_wacc,0.08
external_coupling_molecules_other_utilisation_demand,17.13969563
external_coupling_non_biogenic_waste_max_demand,23.36793056
external_coupling_waste_mix_biogenic_waste_share,54.97021259
external_coupling_waste_mix_non_biogenic_waste_share,45.02978741
flexibility_heat_pump_space_heating_cop_cutoff_gas,2.6
flexibility_outdoor_temperature,0.6
flh_of_energy_hydrogen_wind_turbine_offshore,4800
flh_of_energy_power_wind_turbine_coastal,3300
flh_of_energy_power_wind_turbine_coastal_user_curve,3200.000003
flh_of_energy_power_wind_turbine_inland,3300
flh_of_energy_power_wind_turbine_inland_user_curve,3200.000003
flh_of_energy_power_wind_turbine_offshore,4500
flh_of_energy_power_wind_turbine_offshore_user_curve,4750.000003
flh_of_solar_pv_solar_radiation,1000
flh_of_solar_pv_solar_radiation_user_curve,1012.334936
fuel_production_coal,0
fuel_production_crude_oil,0
fuel_production_lignite,0
fuel_production_natural_gas,0
fuel_production_uranium_oxide,0
green_gas_total_share,100
heat_storage_enabled_ht,1
households_cooker_halogen_electricity_share,0
households_cooker_induction_electricity_share,100
households_cooker_network_gas_share,0
households_cooker_resistive_electricity_share,0
households_cooker_wood_pellets_share,0
households_cooling_airconditioning_electricity_share,45
households_cooling_heatpump_air_water_electricity_share,46
households_cooling_heatpump_ground_water_electricity_share,9
households_flexibility_p2p_electricity_market_penetration,40
households_heater_coal_share,0
households_heater_combined_hydrogen_share,0
households_heater_combined_network_gas_share,5
households_heater_crude_oil_share,0
households_heater_district_heating_ht_steam_hot_water_share,30
households_heater_district_heating_lt_steam_hot_water_share,0
households_heater_district_heating_mt_steam_hot_water_share,0
households_heater_electricity_share,4
households_heater_heatpump_air_water_electricity_share,17
households_heater_heatpump_ground_water_electricity_share,8
households_heater_heatpump_pvt_electricity_share,0
households_heater_heatpump_surface_water_water_ts_electricity_share,0
households_heater_hybrid_crude_oil_heatpump_air_water_electricity_share,0
households_heater_hybrid_heatpump_air_water_electricity_share,35
households_heater_hybrid_hydrogen_heatpump_air_water_electricity_share,0
households_heater_network_gas_share,0
households_heater_wood_pellets_share,1
households_insulation_level_apartments_1945_1964,167.3993187
households_insulation_level_apartments_1965_1984,143.5450151
households_insulation_level_apartments_1985_2004,114.6587521
households_insulation_level_apartments_2005_present,85.97949019
households_insulation_level_apartments_before_1945,229.3837357
households_insulation_level_apartments_future,48.20879181
households_insulation_level_detached_houses_1945_1964,172.8617927
households_insulation_level_detached_houses_1965_1984,143.9170321
households_insulation_level_detached_houses_1985_2004,113.9828704
households_insulation_level_detached_houses_2005_present,82.69575268
households_insulation_level_detached_houses_before_1945,210.4325986
households_insulation_level_detached_houses_future,39.08429182
households_insulation_level_semi_detached_houses_1945_1964,158.6834898
households_insulation_level_semi_detached_houses_1965_1984,136.9824005
households_insulation_level_semi_detached_houses_1985_2004,112.6647543
households_insulation_level_semi_detached_houses_2005_present,83.52305964
households_insulation_level_semi_detached_houses_before_1945,196.6486432
households_insulation_level_semi_detached_houses_future,40.21197947
households_insulation_level_terraced_houses_1945_1964,217.2705297
households_insulation_level_terraced_houses_1965_1984,168.7405815
households_insulation_level_terraced_houses_1985_2004,116.7522212
households_insulation_level_terraced_houses_2005_present,90.02601622
households_insulation_level_terraced_houses_before_1945,236.1289091
households_insulation_level_terraced_houses_future,42.57984115
households_lighting_efficient_fluorescent_electricity_share,10
households_lighting_incandescent_electricity_share,0
households_lighting_led_electricity_share,90
households_number_of_apartments_future,445083
households_number_of_detached_houses_future,202358
households_number_of_inhabitants,19.5
households_number_of_semi_detached_houses_future,270254
households_number_of_terraced_houses_future,345399
households_useful_demand_cooking_per_person,0
households_useful_demand_electric_appliances,0
households_useful_demand_for_cooling,2.5
households_useful_demand_hot_water_share,0
households_useful_demand_lighting,0
households_water_heater_solar_thermal_share,25
industry_aggregated_other_industry_coal_share_energetic,0
industry_aggregated_other_industry_cokes_share_energetic,0
industry_aggregated_other_industry_crude_oil_share_energetic,0
industry_aggregated_other_industry_electricity_share,88
industry_aggregated_other_industry_hydrogen_share_energetic,11.2
industry_aggregated_other_industry_hydrogen_share_non_energetic,0
industry_aggregated_other_industry_network_gas_share_energetic,0
industry_aggregated_other_industry_useable_heat_share,0
industry_aggregated_other_industry_wood_pellets_share_energetic,0.8
industry_aluminium_carbothermalreduction_electricity_share,0
industry_aluminium_electrolysis_bat_electricity_share,50
industry_aluminium_electrolysis_current_electricity_share,0
industry_aluminium_production,0
industry_aluminium_smeltoven_electricity_share,50
industry_bio_kerosene_in_crude_oil_share,0
industry_biodiesel_in_crude_oil_share,0
industry_chemicals_fertilizers_burner_coal_share,0
industry_chemicals_fertilizers_burner_crude_oil_share,0
industry_chemicals_fertilizers_burner_hydrogen_share,100
industry_chemicals_fertilizers_burner_network_gas_share,0
industry_chemicals_fertilizers_burner_wood_pellets_share,0
industry_chemicals_fertilizers_central_ammonia_share,0
industry_chemicals_fertilizers_local_ammonia_central_hydrogen_share,100
industry_chemicals_fertilizers_local_ammonia_local_hydrogen_share,0
industry_chemicals_other_burner_coal_share,0
industry_chemicals_other_burner_crude_oil_share,0
industry_chemicals_other_burner_hydrogen_share,60
industry_chemicals_other_burner_network_gas_share,0
industry_chemicals_other_burner_wood_pellets_share,0
industry_chemicals_other_coal_non_energetic_share,0
industry_chemicals_other_crude_oil_non_energetic_share,100
industry_chemicals_other_heater_electricity_share,27
industry_chemicals_other_heatpump_water_water_electricity_share,0
industry_chemicals_other_hydrogen_non_energetic_share,0
industry_chemicals_other_network_gas_non_energetic_share,0
industry_chemicals_other_steam_recompression_electricity_share,0
industry_chemicals_other_wood_pellets_non_energetic_share,0
industry_chemicals_refineries_burner_coal_share,0
industry_chemicals_refineries_burner_crude_oil_share,0
industry_chemicals_refineries_burner_hydrogen_share,100
industry_chemicals_refineries_burner_network_gas_share,0
industry_chemicals_refineries_burner_wood_pellets_share,0
industry_diesel_in_crude_oil_share,0
industry_final_demand_for_chemical_fertilizers_steam_hot_water_share,0
industry_final_demand_for_chemical_other_steam_hot_water_share,13
industry_final_demand_for_chemical_refineries_steam_hot_water_share,0
industry_final_demand_for_other_food_steam_hot_water_share,0
industry_final_demand_for_other_paper_steam_hot_water_share,0
industry_kerosene_in_crude_oil_share,0
industry_lpg_in_crude_oil_share,0
industry_other_bio_oil_in_crude_oil_share,100
industry_other_food_burner_coal_share,0
industry_other_food_burner_crude_oil_share,0
industry_other_food_burner_hydrogen_share,14.4
industry_other_food_burner_network_gas_share,0
industry_other_food_burner_wood_pellets_share,0
