input,II3050 Regionaal - Solar PV en Warmtenet fix -,II3050 Nationaal - Solar PV en Warmtenet fix -,II3050 Europees - Solar PV en Warmtenet fix -,II3050 Internationaal - Solar PV en Warmtenet fix -
bunkers_plane_using_bio_kerosene_share,100,100,100,100
max_demand_of_wet_biomass,200,200,200,200
max_demand_of_dry_biomass,50,50,50,50
max_demand_of_oily_biomass,0,0,0,0
max_demand_of_biogenic_waste,0,0,0,0
natural_gas_total_share,0,0,0,0
green_gas_total_share,100,100,100,100
energy_treatment_natural_gas_share,100,100,100,100
energy_regasification_lng_share,0,0,0,0
energy_biogas_fermentation_share,50,50,50,50
energy_greengas_gasification_dry_biomass_share,0,0,0,0
energy_greengas_gasification_wet_biomass_share,50,50,50,50
co_firing_coal_share,0,0,0,0
co_firing_biocoal_share,100,100,100,100
energy_mixer_for_gas_power_fuel_natural_gas_share,0,0,0,0
energy_mixer_for_gas_power_fuel_crude_oil_share,0,0,0,0
energy_mixer_for_gas_power_fuel_bio_oil_share,100,100,100,100
climate_relevant_co2_biomass_gas_present,0,0,0,0
climate_relevant_co2_biomass_liquid_present,0,0,0,0
climate_relevant_co2_biomass_solid_present,0,0,0,0
climate_relevant_co2_biomass_gas_future,0,0,0,0
climate_relevant_co2_biomass_liquid_future,0,0,0,0
climate_relevant_co2_biomass_solid_future,0,0,0,0
households_flexibility_p2p_electricity_market_penetration,0,0,0,0
transport_car_using_electricity_availability,0,0,0,0
capacity_of_energy_flexibility_mv_batteries_electricity,0,0,0,0
capacity_of_energy_flexibility_hv_opac_electricity,0,0,0,0
capacity_of_energy_hydrogen_flexibility_p2g_electricity,0,0,0,0
capacity_of_flexibility_p2l_electricity,0,0,0,0
flexibility_p2l_point_source_CO,20,20,20,20
flexibility_p2l_point_source_CO2,60,60,60,60
flexibility_p2l_direct_air_capture,20,20,20,20
flexibility_p2l_co2_reduction_industry,0,0,0,0
flexibility_p2l_co2_reduction_bunkers,100,100,100,100
transport_car_using_electricity_home_charging_share,0,0,0,0
transport_car_using_electricity_hybrid_charging_share,5.9,28.6,0,0
transport_car_using_electricity_fast_charging_share,4.7,3.6,2.5,50
transport_car_using_electricity_smart_charging_share,5.9,28.6,0,0
transport_car_using_electricity_regular_charging_share,83.5,39.2,97.5,50
households_flexibility_space_heating_buffer_size_heatpump_air_water_electricity,0,0,0,0
households_flexibility_space_heating_buffer_size_heatpump_ground_water_electricity,0,0,0,0
households_flexibility_space_heating_buffer_size_hybrid_heatpump_air_water_electricity,0,0,0,0
households_flexibility_water_heating_buffer_size_heatpump_air_water_electricity,5,5,5,5
households_flexibility_water_heating_buffer_size_heatpump_ground_water_electricity,5,5,5,5
households_flexibility_water_heating_buffer_size_hybrid_heatpump_air_water_electricity,0,0,0,0
households_flexibility_space_heating_cop_cutoff,2.6,2.6,2.6,2.6
households_flexibility_water_heating_cop_cutoff,6,6,6,6
interconnectors_interconnector_capacity,14800,14800,14800,14800
interconnectors_availability_for_import,0,50,100,100
interconnectors_availability_for_export,100,100,100,100
co2_emissions_of_imported_electricity_present,0,0,0,0
co2_emissions_of_imported_electricity_future,0,0,0,0
flexibility_outdoor_temperature,0.6,0.6,0.6,0.6
flh_of_energy_power_wind_turbine_inland,3000,3000,3000,3000
flh_of_energy_power_wind_turbine_coastal,3000,3000,3000,3000
flh_of_energy_power_wind_turbine_offshore,4500,4500,4500,4500
flh_of_energy_hydrogen_wind_turbine_offshore,4500,4500,4500,4500
flh_of_solar_pv_solar_radiation,876,876,876,876
costs_gas,23.63,23.63,23.63,23.63
costs_oil,64,64,64,64
costs_coal,66,66,66,66
costs_uranium,69.1,69.1,69.1,69.1
costs_greengas,52,52,52,52
costs_biogas,45,45,45,45
costs_wood,153,153,153,153
costs_biodiesel,1.2,1.2,1.2,1.2
costs_bio_ethanol,1.2,1.2,1.2,1.2
costs_heat_infra_indoors,100,100,100,100
costs_heat_infra_outdoors,100,100,100,100
costs_heat_network_storage,0,0,0,0
investment_costs_geothermal,-88.39,-88.39,-88.39,-88.39
om_costs_geothermal,-39,-39,-39,-39
investment_costs_solar_thermal,0,0,0,0
om_costs_solar_thermal,0,0,0,0
costs_industry_residual_heat,0,0,0,0
costs_imported_heat,1,1,1,1
investment_costs_electric_heat_pumps,-49,-49,-49,-49
investment_costs_gas_heat_pumps,0,0,0,0
investment_costs_households_storage_space_heating,155,155,155,155
investment_costs_households_storage_water_heating,51,51,51,51
investment_costs_combustion_gas_plant,0.13,0.13,0.13,0.13
investment_costs_combustion_oil_plant,0,0,0,0
investment_costs_combustion_coal_plant,0,0,0,0
investment_costs_combustion_biomass_plants,-31.82,-31.82,-31.82,-31.82
investment_costs_combustion_waste_incinerator,0,0,0,0
om_costs_combustion_gas_plant,0,0,0,0
om_costs_combustion_oil_plant,0,0,0,0
om_costs_combustion_coal_plant,0,0,0,0
om_costs_combustion_biomass_plant,-84.46,-84.46,-84.46,-84.46
om_costs_combustion_waste_incinerator,0,0,0,0
investment_costs_nuclear_nuclear_plant,25,25,25,25
om_costs_nuclear_nuclear_plant,0,0,0,0
investment_costs_electric_cars,0,0,0,0
investment_costs_wind_onshore,-48.89,-48.89,-48.89,-48.89
investment_costs_wind_offshore,-74.37,-74.37,-74.37,-74.37
om_costs_wind_onshore,-63.86,-63.86,-63.86,-63.86
om_costs_wind_offshore,-77.62,-77.62,-77.62,-77.62
costs_imported_electricity,50,50,50,50
costs_hydrogen,90,90,90,90
costs_hydrogen_storage,3.4,3.4,3.4,3.4
costs_hydrogen_transport_pipelines,1.6,1.6,1.6,1.6
costs_hydrogen_transport_compressed_trucks,50.1,50.1,50.1,50.1
investment_costs_water_river,-4,-4,-4,-4
om_costs_water_river,121.88,121.88,121.88,121.88
investment_costs_solar_solar_panels,-68.08,-68.08,-68.08,-68.08
investment_costs_households_flexibility_p2p_electricity,5.78,5.78,5.78,5.78
investment_costs_energy_flexibility_mv_batteries_electricity,-30.75,-30.75,-30.75,-30.75
investment_costs_energy_flexibility_hv_opac_electricity,0,0,0,0
investment_costs_flexibility_p2h_electricity,1.69,1.69,1.69,1.69
investment_costs_hydrogen_electrolysis,-55,-55,-55,-55
costs_infrastructure_electricity_lv_net,916,916,916,916
costs_infrastructure_electricity_lv_mv_trafo,200,200,200,200
costs_infrastructure_electricity_mv_net,690,690,690,690
costs_infrastructure_electricity_mv_hv_trafo,250,250,250,250
costs_infrastructure_electricity_hv_net,364,364,364,364
costs_infrastructure_electricity_interconnector_net,364,364,364,364
costs_infrastructure_electricity_offshore_net,810,810,810,810
costs_co2,160,160,160,160
costs_co2_free_allocation,0,0,0,0
investment_costs_co2_ccs,-66.35,-66.35,-66.35,-66.35
om_costs_co2_ccs,0,0,0,0
costs_ccs_per_ton_in_industry,50,50,50,50
costs_wacc_households,3,3,3,3
costs_wacc_public_infrastructure,3,3,3,3
costs_wacc_proven_technologies,3,3,3,3
costs_wacc_unproven_technologies,3,3,3,3
