short_name,title,area_code,end_year,description,id,keep_compatible,curve_file,heat_demand
KM_Bergen (L.),KM_Bergen (L.),GM0893_Bergen (L.),2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Brunssum,KM_Brunssum,GM0899_Brunssum,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Gennep,KM_Gennep,GM0907_Gennep,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Heerlen,KM_Heerlen,GM0917_Heerlen,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Kerkrade,KM_Kerkrade,GM0928_Kerkrade,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Maastricht,KM_Maastricht,GM0935_Maastricht,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Meerssen,KM_Meerssen,GM0938_Meerssen,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Mook en Middelaar,KM_Mook en Middelaar,GM0944_Mook en Middelaar,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Nederweert,KM_Nederweert,GM0946_Nederweert,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Roermond,KM_Roermond,GM0957_Roermond,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Simpelveld,KM_Simpelveld,GM0965_Simpelveld,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Stein,KM_Stein,GM0971_Stein,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Vaals,KM_Vaals,GM0981_Vaals,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Venlo,KM_Venlo,GM0983_Venlo,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Venray,KM_Venray,GM0984_Venray,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Voerendaal,KM_Voerendaal,GM0986_Voerendaal,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Weert,KM_Weert,GM0988_Weert,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Valkenburg aan de Geul,KM_Valkenburg aan de Geul,GM0994_Valkenburg aan de Geul,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Horst aan de Maas,KM_Horst aan de Maas,GM1507_Horst aan de Maas,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Leudal,KM_Leudal,GM1640_Leudal,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Maasgouw,KM_Maasgouw,GM1641_Maasgouw,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Roerdalen,KM_Roerdalen,GM1669_Roerdalen,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Echt-Susteren,KM_Echt-Susteren,GM1711_Echt-Susteren,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Gulpen-Wittem,KM_Gulpen-Wittem,GM1729_Gulpen-Wittem,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Sittard-Geleen,KM_Sittard-Geleen,GM1883_Sittard-Geleen,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Peel en Maas,KM_Peel en Maas,GM1894_Peel en Maas,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Eijsden-Margraten,KM_Eijsden-Margraten,GM1903_Eijsden-Margraten,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Beekdaelen,KM_Beekdaelen,GM1954_Beekdaelen,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Asten,KM_Asten,GM0743_Asten,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
