Input Name,GM0482_alblasserdam,GM0505_dordrecht,GM0523_hardinxveld_giessendam,GM0531_hendrik_ido_ambacht,GM0590_papendrecht,GM0610_sliedrecht,GM0642_zwijndrecht
capacity_of_energy_power_engine_network_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_hybrid_wind_turbine_offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_hydro_mountain,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_hydro_river,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_nuclear_gen2_uranium_oxide,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_nuclear_gen3_uranium_oxide,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_nuclear_small_modular_reactor_uranium_oxide,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_solar_csp_solar_radiation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_solar_pv_offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_solar_pv_solar_radiation,0.0,7.577213892092784,0.7400999615532489,0.0,0.0,0.0,0.0
capacity_of_energy_power_supercritical_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_supercritical_waste_mix,0.0,31.21951219512195,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_turbine_hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_turbine_network_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_ultra_supercritical_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_ultra_supercritical_cofiring_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_ultra_supercritical_crude_oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_ultra_supercritical_lignite,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_ultra_supercritical_network_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_wind_turbine_coastal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_wind_turbine_inland,0.0,8.725300688690716,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_wind_turbine_offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_wood_pellets_dispatchable,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_wood_pellets_must_run,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_production_synthetic_kerosene_dispatchable,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_households_solar_pv_solar_radiation,1.6115596565423553,6.910803537101113,2.7169037549660384,3.2871972318339093,2.8706907599641167,2.396514161220044,3.5627322824554657
capacity_of_industry_chemical_flexibility_load_shifting_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_chemicals_fertilizers_flexibility_p2h_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_chemicals_other_flexibility_p2h_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_chemicals_refineries_flexibility_p2h_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_chp_combined_cycle_gas_power_fuelmix,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_chp_engine_gas_power_fuelmix,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_chp_turbine_gas_power_fuelmix,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_chp_turbine_hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_chp_ultra_supercritical_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_chp_wood_pellets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_heat_burner_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_heat_burner_crude_oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_heat_burner_hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_heat_burner_lignite,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_heat_well_geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_metal_flexibility_load_shifting_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_other_flexibility_load_shifting_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_other_food_flexibility_p2h_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_other_ict_flexibility_load_shifting_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_other_paper_flexibility_p2h_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change_in_energetic_emissions_other_ghg_agriculture,100.0,100.0,100.0,100.0,100.0,100.0,100.0
change_in_energetic_emissions_other_ghg_buildings,100.0,100.0,100.0,100.0,100.0,100.0,100.0
change_in_energetic_emissions_other_ghg_energy,100.0,100.0,100.0,100.0,100.0,100.0,100.0
change_in_energetic_emissions_other_ghg_households,100.0,100.0,100.0,100.0,100.0,100.0,100.0
change_in_energetic_emissions_other_ghg_industry,100.0,100.0,100.0,100.0,100.0,100.0,100.0
change_in_energetic_emissions_other_ghg_transport,100.0,100.0,100.0,100.0,100.0,100.0,100.0
change_in_indirect_emissions_co2,100.0,100.0,100.0,100.0,100.0,100.0,100.0
change_in_non_energetic_emissions_co2_agriculture_manure,100.0,100.0,100.0,100.0,100.0,100.0,100.0
change_in_non_energetic_emissions_co2_agriculture_soil_cultivation,100.0,100.0,100.0,100.0,100.0,100.0,100.0
change_in_non_energetic_emissions_co2_chemical_industry,100.0,100.0,100.0,100.0,100.0,100.0,100.0
change_in_non_energetic_emissions_co2_other_industry,100.0,100.0,100.0,100.0,100.0,100.0,100.0
change_in_non_energetic_emissions_co2_waste_management,100.0,100.0,100.0,100.0,100.0,100.0,100.0
change_in_non_energetic_emissions_other_ghg_agriculture_fermentation,100.0,100.0,100.0,100.0,100.0,100.0,100.0
change_in_non_energetic_emissions_other_ghg_agriculture_manure,100.0,100.0,100.0,100.0,100.0,100.0,100.0
change_in_non_energetic_emissions_other_ghg_agriculture_other,100.0,100.0,100.0,100.0,100.0,100.0,100.0
change_in_non_energetic_emissions_other_ghg_agriculture_soil_cultivation,100.0,100.0,100.0,100.0,100.0,100.0,100.0
change_in_non_energetic_emissions_other_ghg_chemical_industry,100.0,100.0,100.0,100.0,100.0,100.0,100.0
change_in_non_energetic_emissions_other_ghg_other_industry,100.0,100.0,100.0,100.0,100.0,100.0,100.0
change_in_non_energetic_emissions_other_ghg_waste_management,100.0,100.0,100.0,100.0,100.0,100.0,100.0
climate_relevant_co2_biomass_gas_future,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate_relevant_co2_biomass_gas_present,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate_relevant_co2_biomass_liquid_future,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate_relevant_co2_biomass_liquid_present,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate_relevant_co2_biomass_solid_future,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate_relevant_co2_biomass_solid_present,0.0,0.0,0.0,0.0,0.0,0.0,0.0
co2_emissions_of_imported_ammonia_future,348.38709839999996,348.38709839999996,348.38709839999996,348.38709839999996,348.38709839999996,348.38709839999996,348.38709839999996
co2_emissions_of_imported_heat,35.97,35.97,35.97,35.97,35.97,35.97,35.97
co2_emissions_of_imported_hydrogen_future,280.8,280.8,280.8,280.8,280.8,280.8,280.8
co2_emissions_of_imported_liquid_hydrogen_future,351.0,351.0,351.0,351.0,351.0,351.0,351.0
co2_emissions_of_imported_lohc_future,295.596,295.596,295.596,295.596,295.596,295.596,295.596
co_firing_biocoal_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0
co_firing_coal_share,100.0,100.0,100.0,100.0,100.0,100.0,100.0
connection_capacity_always_on_solar_pv_solar_radiation,25.0,25.0,25.0,25.0,25.0,25.0,25.0
connection_capacity_always_on_wind_turbine_inland,75.0,75.0,75.0,75.0,75.0,75.0,75.0
costs_bio_ethanol,0.9482455191320002,0.9482455191320002,0.9482455191320002,0.9482455191320002,0.9482455191320002,0.9482455191320002,0.9482455191320002
costs_biodiesel,0.9588091367520001,0.9588091367520001,0.9588091367520001,0.9588091367520001,0.9588091367520001,0.9588091367520001,0.9588091367520001
costs_biogas,56.99999880000001,56.99999880000001,56.99999880000001,56.99999880000001,56.99999880000001,56.99999880000001,56.99999880000001
costs_buildings_ht_heat_delivery_system_costs_eur_per_connection,16706.0,16706.0,16706.0,16706.0,16706.0,16706.0,16706.0
costs_buildings_lt_heat_delivery_system_costs_eur_per_connection,25386.0,25386.0,25386.0,25386.0,25386.0,25386.0,25386.0
costs_buildings_mt_heat_delivery_system_costs_eur_per_connection,16706.0,16706.0,16706.0,16706.0,16706.0,16706.0,16706.0
costs_captured_biogenic_co2,24.830000000000002,24.830000000000002,24.830000000000002,24.830000000000002,24.830000000000002,24.830000000000002,24.830000000000002
costs_co2,24.830000000000002,24.830000000000002,24.830000000000002,24.830000000000002,24.830000000000002,24.830000000000002,24.830000000000002
costs_co2_free_allocation,40.0,40.0,40.0,40.0,40.0,40.0,40.0
costs_coal,65.93761392901145,65.93761392901145,65.93761392901145,65.93761392901145,65.93761392901145,65.93761392901145,65.93761392901145
costs_electricity_fallback_price,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
costs_gas,14.0000004,14.0000004,14.0000004,14.0000004,14.0000004,14.0000004,14.0000004
costs_greengas,63.56999879999999,63.56999879999999,63.56999879999999,63.56999879999999,63.56999879999999,63.56999879999999,63.56999879999999
costs_heat_infra_indoors,100.0,100.0,100.0,100.0,100.0,100.0,100.0
costs_heat_infra_outdoors,100.0,100.0,100.0,100.0,100.0,100.0,100.0
costs_heat_network_storage_ht_steam_hot_water,43.2,43.2,43.2,43.2,43.2,43.2,43.2
costs_heat_network_storage_lt_steam_hot_water,43.2,43.2,43.2,43.2,43.2,43.2,43.2
costs_heat_network_storage_mt_steam_hot_water,43.2,43.2,43.2,43.2,43.2,43.2,43.2
costs_households_ht_heat_delivery_system_costs_apartments_eur_per_connection,1174.0,1174.0,1174.0,1174.0,1174.0,1174.0,1174.0
costs_households_ht_heat_delivery_system_costs_ground_level_houses_eur_per_connection,2054.0,2054.0,2054.0,2054.0,2054.0,2054.0,2054.0
costs_households_lt_heat_delivery_system_costs_apartments_eur_per_connection,2382.0,2382.0,2382.0,2382.0,2382.0,2382.0,2382.0
costs_households_lt_heat_delivery_system_costs_ground_level_houses_eur_per_connection,4144.0,4144.0,4144.0,4144.0,4144.0,4144.0,4144.0
costs_households_mt_heat_delivery_system_costs_apartments_eur_per_connection,1174.0,1174.0,1174.0,1174.0,1174.0,1174.0,1174.0
