Sidebar,Sectie,Slide,Naam,Key,Gebruikerswaarde,Minimumwaarde,Maximumwaarde,Standaardwaarde,Eenheid
Kosten & efficiënties,Vloeibare brandstoffen en grondstoffen,Kosten van vloeibare brandstoffenproductie,Onderhoudskosten,om_costs_methanol_synthesis,,-100.0,300.0,0.0,%
Kosten & efficiënties,Vloeibare brandstoffen en grondstoffen,Kosten van vloeibare brandstoffenproductie,Onderhoudskosten,om_costs_pyrolysis,,-100.0,300.0,0.0,%
Kosten & efficiënties,Warmte,Efficiënties verwarming gebouwde omgeving,Water warmtepomp,efficiency_agriculture_heatpump_water_water_electricity,,1.0,8.8,4.5,COP
Kosten & efficiënties,Warmte,Efficiënties verwarming gebouwde omgeving,Water warmtepomp met WKO,efficiency_agriculture_heatpump_water_water_ts_electricity,,1.0,24.8,23.000000000000007,COP
Kosten & efficiënties,Warmte,Efficiënties verwarming gebouwde omgeving,Water warmtepomp met WKO,efficiency_buildings_space_heater_collective_heatpump_water_water_ts_electricity,,1.0,6.8,3.7600000000000002,COP
Kosten & efficiënties,Warmte,Efficiënties verwarming gebouwde omgeving,HR combiketel (waterstof),efficiency_buildings_space_heater_combined_hydrogen,,90.0,118.0,108.6956522,%
Kosten & efficiënties,Warmte,Efficiënties verwarming gebouwde omgeving,Elektrische boiler,efficiency_buildings_space_heater_electricity,,90.0,100.0,100.0,%
Kosten & efficiënties,Warmte,Efficiënties verwarming gebouwde omgeving,Luchtwarmtepomp,efficiency_buildings_space_heater_heatpump_air_water_electricity,,0.0,200.0,100.0,%
Kosten & efficiënties,Warmte,Efficiënties verwarming gebouwde omgeving,Hybride luchtwarmtepomp (gas),efficiency_buildings_space_heater_hybrid_heatpump_air_water_electricity,,0.0,200.0,100.0,%
Kosten & efficiënties,Warmte,Efficiënties verwarming gebouwde omgeving,Hybride luchtwarmtepomp (waterstof),efficiency_buildings_space_heater_hybrid_hydrogen_heatpump_air_water_electricity,,0.0,200.0,100.0,%
Kosten & efficiënties,Warmte,Efficiënties verwarming gebouwde omgeving,HR combiketel (gas),efficiency_buildings_space_heater_network_gas,,90.0,111.0,106.69999999999999,%
Kosten & efficiënties,Warmte,Efficiënties verwarming gebouwde omgeving,Houtpelletkachel,efficiency_buildings_space_heater_wood_pellets,,72.0,92.0,82.0,%
Kosten & efficiënties,Warmte,Efficiënties verwarming gebouwde omgeving,HR combiketel (waterstof),efficiency_households_space_heater_combined_hydrogen,,90.0,118.0,110.00000000000001,%
Kosten & efficiënties,Warmte,Efficiënties verwarming gebouwde omgeving,HR combiketel (gas),efficiency_households_space_heater_combined_network_gas,,90.0,111.0,107.0,%
Kosten & efficiënties,Warmte,Efficiënties verwarming gebouwde omgeving,Elektrische boiler,efficiency_households_space_heater_electricity,,90.0,100.0,100.0,%
Kosten & efficiënties,Warmte,Efficiënties verwarming gebouwde omgeving,Luchtwarmtepomp,efficiency_households_space_heater_heatpump_air_water_electricity,,0.0,200.0,100.0,%
Kosten & efficiënties,Warmte,Efficiënties verwarming gebouwde omgeving,Bodemwarmtepomp,efficiency_households_space_heater_heatpump_ground_water_electricity,,1.0,8.8,4.800000000000008,COP
Kosten & efficiënties,Warmte,Efficiënties verwarming gebouwde omgeving,Hybride luchtwarmtepomp (ruwe olie),efficiency_households_space_heater_hybrid_crude_oil_heatpump_air_water_electricity,,0.0,200.0,100.0,%
Kosten & efficiënties,Warmte,Efficiënties verwarming gebouwde omgeving,Hybride luchtwarmtepomp (gas),efficiency_households_space_heater_hybrid_heatpump_air_water_electricity,,0.0,200.0,100.0,%
Kosten & efficiënties,Warmte,Efficiënties verwarming gebouwde omgeving,Hybride luchtwarmtepomp (waterstof),efficiency_households_space_heater_hybrid_hydrogen_heatpump_air_water_electricity,,0.0,200.0,100.0,%
Kosten & efficiënties,Warmte,Efficiënties verwarming gebouwde omgeving,Gasketel,efficiency_households_space_heater_network_gas,,60.0,100.0,80.0,%
Kosten & efficiënties,Warmte,Efficiënties verwarming gebouwde omgeving,Houtpelletkachel,efficiency_households_space_heater_wood_pellets,,72.0,92.0,82.0,%
Kosten & efficiënties,Warmte,Kosten warmtenetinfrastructuur,Inpandige kosten,costs_heat_infra_indoors,,0.0,300.0,100.0,%
Kosten & efficiënties,Warmte,Kosten warmtenetinfrastructuur,Leidingen en onderstations,costs_heat_infra_outdoors,,0.0,300.0,100.0,%
Kosten & efficiënties,Warmte,Kosten warmtenetinfrastructuur,HT-(seizoens)opslag,costs_heat_network_storage_ht_steam_hot_water,,0.0,200.0,43.2,€/MWh
Kosten & efficiënties,Warmte,Kosten warmtenetinfrastructuur,LT-(seizoens)opslag,costs_heat_network_storage_lt_steam_hot_water,,0.0,200.0,43.2,€/MWh
Kosten & efficiënties,Warmte,Kosten warmtenetinfrastructuur,MT-(seizoens)opslag,costs_heat_network_storage_mt_steam_hot_water,,0.0,200.0,43.2,€/MWh
Kosten & efficiënties,Warmte,Kosten verwarming,HT grondgebonden gebouwen,costs_buildings_ht_heat_delivery_system_costs_eur_per_connection,,0.0,100000.0,16706.0,€/connection
Kosten & efficiënties,Warmte,Kosten verwarming,LT grondgebonden gebouwen,costs_buildings_lt_heat_delivery_system_costs_eur_per_connection,,0.0,100000.0,25386.0,€/connection
Kosten & efficiënties,Warmte,Kosten verwarming,MT grondgebonden gebouwen,costs_buildings_mt_heat_delivery_system_costs_eur_per_connection,,0.0,100000.0,16706.0,€/connection
Kosten & efficiënties,Warmte,Kosten verwarming,HT appartementen,costs_households_ht_heat_delivery_system_costs_apartments_eur_per_connection,,0.0,5000.0,1174.0,€/connection
Kosten & efficiënties,Warmte,Kosten verwarming,HT grondgebonden woningen,costs_households_ht_heat_delivery_system_costs_ground_level_houses_eur_per_connection,,0.0,10000.0,2054.0,€/connection
Kosten & efficiënties,Warmte,Kosten verwarming,LT appartementen,costs_households_lt_heat_delivery_system_costs_apartments_eur_per_connection,,0.0,5000.0,2382.0,€/connection
Kosten & efficiënties,Warmte,Kosten verwarming,LT grondgebonden woningen,costs_households_lt_heat_delivery_system_costs_ground_level_houses_eur_per_connection,,0.0,10000.0,4144.0,€/connection
Kosten & efficiënties,Warmte,Kosten verwarming,MT appartementen,costs_households_mt_heat_delivery_system_costs_apartments_eur_per_connection,,0.0,5000.0,1174.0,€/connection
Kosten & efficiënties,Warmte,Kosten verwarming,MT grondgebonden woningen,costs_households_mt_heat_delivery_system_costs_ground_level_houses_eur_per_connection,,0.0,10000.0,2054.0,€/connection
Kosten & efficiënties,Warmte,Kosten verwarming,Geïmporteerde (rest)warmte,costs_imported_heat,,0.0,500.0,11.569444,€/GJ
Kosten & efficiënties,Warmte,Kosten verwarming,Industriële restwarmte,costs_industry_residual_heat,,-100.0,300.0,0.0,%
Kosten & efficiënties,Warmte,Kosten verwarming,Vaste onderhoudskosten,external_coupling_energy_heat_production_ht_residual_heat_fixed_om_costs,,0.0,100000000000.0,0.0,€/year/unit
Kosten & efficiënties,Warmte,Kosten verwarming,Investeringskosten,external_coupling_energy_heat_production_ht_residual_heat_investment_costs,,0.0,100000000000.0,0.0,€/unit
Kosten & efficiënties,Warmte,Kosten verwarming,Technische levensduur,external_coupling_energy_heat_production_ht_residual_heat_technical_lifetime,,0.00681781011831203,0.681781011831203,0.0,year
Kosten & efficiënties,Warmte,Kosten verwarming,WACC,external_coupling_energy_heat_production_ht_residual_heat_wacc,,0.0,1.0,0.0,%
Kosten & efficiënties,Warmte,Kosten verwarming,Elektrische warmtepompen,investment_costs_electric_heat_pumps,,-100.0,300.0,0.0,%
Kosten & efficiënties,Warmte,Kosten verwarming,Gaswarmtepompen,investment_costs_gas_heat_pumps,,-100.0,300.0,0.0,%
Kosten & efficiënties,Warmte,Kosten verwarming,Investeringskosten aardwarmte,investment_costs_geothermal,,-100.0,300.0,0.0,%
Kosten & efficiënties,Warmte,Kosten verwarming,Investeringskosten zonthermie,investment_costs_solar_thermal,,-100.0,300.0,0.0,%
Kosten & efficiënties,Warmte,Kosten verwarming,Onderhoudskosten aardwarmte,om_costs_geothermal,,-100.0,300.0,0.0,%
Kosten & efficiënties,Warmte,Kosten verwarming,Onderhoudskosten zonthermie,om_costs_solar_thermal,,-100.0,300.0,0.0,%
Kosten & efficiënties,Waterstofdragers en ammoniak,Geïmporteerde waterstofdragers en ammoniak,Waterstof,costs_hydrogen,126.0,0.0,200.0,126.0,€/MWh
Kosten & efficiënties,Waterstofdragers en ammoniak,Geïmporteerde waterstofdragers en ammoniak,Ammoniak,costs_imported_ammonia,132.0,0.0,500.0,132.0,€/MWh
Kosten & efficiënties,Waterstofdragers en ammoniak,Geïmporteerde waterstofdragers en ammoniak,Vloeibare waterstof,costs_imported_liquid_hydrogen,182.0,0.0,200.0,182.0,€/MWh
Kosten & efficiënties,Waterstofdragers en ammoniak,Geïmporteerde waterstofdragers en ammoniak,LOHC,costs_imported_lohc,127.0,0.0,200.0,127.0,€/MWh
Kosten & efficiënties,Waterstofdragers en ammoniak,Waterstofproductie,Ammoniak reformer,efficiency_ammonia_reforming,,58.5,78.5,68.5,%
Kosten & efficiënties,Waterstofdragers en ammoniak,Waterstofproductie,Power-to-gas elektrolysers,efficiency_hydrogen_electrolysis,,56.0,76.0,66.0,%
Kosten & efficiënties,Waterstofdragers en ammoniak,Waterstofproductie,Investeringskosten ammoniak reformer,investment_costs_ammonia_reforming,,-100.0,300.0,0.0,%
Kosten & efficiënties,Waterstofdragers en ammoniak,Waterstofproductie,Investeringskosten power-to-gas,investment_costs_hydrogen_electrolysis,,-100.0,300.0,0.0,%
Kosten & efficiënties,Waterstofdragers en ammoniak,Waterstofopslag,Kosten waterstofopslag leeg gasveld,costs_hydrogen_storage_depleted_gas_field,,0.0,3000.0,350.0,€/MWh
Kosten & efficiënties,Waterstofdragers en ammoniak,Waterstofopslag,Kosten waterstofopslag zoutcaverne,costs_hydrogen_storage_salt_cavern,,0.0,3000.0,550.0,€/MWh
Kosten & efficiënties,Waterstofdragers en ammoniak,Waterstoftransport,Totale kosten H<sub>2</sub> onder druk in vrachtwagens,costs_hydrogen_transport_compressed_trucks,,0.0,100.0,50.08226477935054,€/MWh
Kosten & efficiënties,Waterstofdragers en ammoniak,Waterstoftransport,Totale kosten H<sub>2</sub> leidingen,costs_hydrogen_transport_pipelines,,0.0,100.0,0.4718169373097413,€/MWh
Kosten & efficiënties,Waterstofdragers en ammoniak,Waterstoftransport,Totale kosten H<sub>2</sub> leidingen op zee,costs_hydrogen_transport_pipelines_offshore,,0.0,100.0,0.6530142313546422,€/MWh
Kosten & efficiënties,Brandstofprijzen,Biobrandstoffen,Bio-ethanol,costs_bio_ethanol,,0.0,10.0,0.9482455191320002, €/liter
Kosten & efficiënties,Brandstofprijzen,Biobrandstoffen,Biodiesel,costs_biodiesel,,0.0,10.0,0.9588091367520001, €/liter
Kosten & efficiënties,Brandstofprijzen,Biobrandstoffen,Biogas,costs_biogas,64.8,0.0,200.0,64.8, €/MWh
Kosten & efficiënties,Brandstofprijzen,Biobrandstoffen,Groen gas,costs_greengas,,0.0,200.0,63.56999879999999, €/MWh
Kosten & efficiënties,Brandstofprijzen,Biobrandstoffen,Hout,costs_wood,150.0,0.0,1550.0,150.0, €/Tonne
Kosten & efficiënties,Brandstofprijzen,Fossiele brandstoffen,Kolen,costs_coal,76.59592471,0.0,500.0,76.59592471,$/tonne
Kosten & efficiënties,Brandstofprijzen,Fossiele brandstoffen,Aardgas,costs_gas,20.50595839,0.0,500.0,20.50595839, €/MWh
Kosten & efficiënties,Brandstofprijzen,Fossiele brandstoffen,Olie,costs_oil,88.89572114,0.0,500.0,88.89572114,$/barrel
Kosten & efficiënties,Brandstofprijzen,Kernbrandstoffen,Uranium,costs_uranium,46.84842194,0.0,800.0,46.84842194,€/kg
Kosten & efficiënties,Kosten infrastructuur,Kosten elektriciteitsinfrastructuur,Investering hoogspanningsnet,costs_infrastructure_electricity_hv_net,,0.0,1500.0,364.0,€/kW
Kosten & efficiënties,Kosten infrastructuur,Kosten elektriciteitsinfrastructuur,Investering in interconnectienet,costs_infrastructure_electricity_interconnector_net,,0.0,1500.0,364.0,€/kW
Kosten & efficiënties,Kosten infrastructuur,Kosten elektriciteitsinfrastructuur,Investering ls-ms-transformator,costs_infrastructure_electricity_lv_mv_trafo,,0.0,1500.0,200.0,€/kW
Kosten & efficiënties,Kosten infrastructuur,Kosten elektriciteitsinfrastructuur,Investering laagspanningsnet,costs_infrastructure_electricity_lv_net,,0.0,1500.0,916.0,€/kW
Kosten & efficiënties,Kosten infrastructuur,Kosten elektriciteitsinfrastructuur,Investering ms-hs-transformator,costs_infrastructure_electricity_mv_hv_trafo,,0.0,1500.0,250.0,€/kW
Kosten & efficiënties,Kosten infrastructuur,Kosten elektriciteitsinfrastructuur,Investering middenspanningsnet,costs_infrastructure_electricity_mv_net,,0.0,1500.0,690.0,€/kW
Kosten & efficiënties,Kosten infrastructuur,Kosten elektriciteitsinfrastructuur,Investering in net op zee,costs_infrastructure_electricity_offshore_net,,0.0,1500.0,1159.0,€/kW
Kosten & efficiënties,Elektriciteit,Kolencentrales,Kolen-WKK - elektriciteit,efficiency_energy_chp_ultra_supercritical_coal_electricity,,34.0,54.0,44.0,%
Kosten & efficiënties,Elektriciteit,Kolencentrales,Kolen-WKK - warmte,efficiency_energy_chp_ultra_supercritical_coal_heat,,-5.0006100179286115,14.999389982071389,4.9993899820713885,%
Kosten & efficiënties,Elektriciteit,Kolencentrales,Kolen-WKK met bijstook - elektriciteit,efficiency_energy_chp_ultra_supercritical_cofiring_coal_electricity,,32.0,52.0,42.0,%
Kosten & efficiënties,Elektriciteit,Kolencentrales,Kolen-WKK met bijstook - warmte,efficiency_energy_chp_ultra_supercritical_cofiring_coal_heat,,-0.0011476931029648085,19.998852306897035,9.998852306897035,%
Kosten & efficiënties,Elektriciteit,Kolencentrales,Kolenvergassing,efficiency_energy_power_combined_cycle_coal,,35.300000000000004,55.300000000000004,45.300000000000004,%
Kosten & efficiënties,Elektriciteit,Kolencentrales,Kolen conventioneel,efficiency_energy_power_supercritical_coal,,26.0,46.0,36.0,%
Kosten & efficiënties,Elektriciteit,Kolencentrales,Poederkolen,efficiency_energy_power_ultra_supercritical_coal,,36.0,56.0,46.0,%
Kosten & efficiënties,Elektriciteit,Kolencentrales,Poederkolen met bijstook,efficiency_energy_power_ultra_supercritical_cofiring_coal,,31.68,51.68,41.68,%
Kosten & efficiënties,Elektriciteit,Kolencentrales,Kolen-WKK (industrie) - elektriciteit,efficiency_industry_chp_ultra_supercritical_coal_electricity,,0.0,100.0,40.0,%
Kosten & efficiënties,Elektriciteit,Kolencentrales,Kolen-WKK (industrie) - warmte,efficiency_industry_chp_ultra_supercritical_coal_heat,,0.0,100.0,15.0,%
Kosten & efficiënties,Elektriciteit,Kolencentrales,Poederkolen-WKK - elektriciteit,external_coupling_efficiency_industry_chp_ultra_supercritical_coal_electricity,,10.0,90.0,40.0,%
Kosten & efficiënties,Elektriciteit,Kolencentrales,Poederkolen-WKK - warmte,external_coupling_efficiency_industry_chp_ultra_supercritical_coal_heat,,10.0,90.0,15.0,%
Kosten & efficiënties,Elektriciteit,Kolencentrales,Investeringskosten kolencentrales,investment_costs_combustion_coal_plant,,-100.0,300.0,0.0,%
Kosten & efficiënties,Elektriciteit,Kolencentrales,Onderhoudskosten kolencentrales,om_costs_combustion_coal_plant,,-100.0,300.0,0.0,%
Kosten & efficiënties,Elektriciteit,Gascentrales,Gasmotor-WKK (regelbaar) - elektriciteit,efficiency_agriculture_chp_engine_dispatchable_network_gas_electricity,,27.0,47.0,37.0,%
Kosten & efficiënties,Elektriciteit,Gascentrales,Gasmotor-WKK (regelbaar) - warmte,efficiency_agriculture_chp_engine_dispatchable_network_gas_heat,,38.0,58.0,48.0,%
Kosten & efficiënties,Elektriciteit,Gascentrales,Gasmotor-WKK (must-run) - elektriciteit,efficiency_agriculture_chp_engine_must_run_network_gas_electricity,,27.0,47.0,37.0,%
Kosten & efficiënties,Elektriciteit,Gascentrales,Gasmotor-WKK (must-run) - warmte,efficiency_agriculture_chp_engine_must_run_network_gas_heat,,38.0,58.0,48.0,%
Kosten & efficiënties,Elektriciteit,Gascentrales,Grootschalige gas WKK - elektriciteit,efficiency_energy_chp_combined_cycle_network_gas_electricity,,32.0,52.0,42.0,%
Kosten & efficiënties,Elektriciteit,Gascentrales,Grootschalige gas WKK - warmte,efficiency_energy_chp_combined_cycle_network_gas_heat,,23.0,43.0,33.0,%
Kosten & efficiënties,Elektriciteit,Gascentrales,Kleinschalige gas WKK - elektriciteit,efficiency_energy_chp_local_engine_network_gas_electricity,,27.0,47.0,37.0,%
Kosten & efficiënties,Elektriciteit,Gascentrales,Kleinschalige gas WKK  - warmte,efficiency_energy_chp_local_engine_network_gas_heat,,38.0,58.0,48.0,%
Kosten & efficiënties,Elektriciteit,Gascentrales,Gas STEG,efficiency_energy_power_combined_cycle_network_gas,,44.90999999999999,64.91,54.90999999999999,%
Kosten & efficiënties,Elektriciteit,Gascentrales,Gasmotor,efficiency_energy_power_engine_network_gas,,33.0,53.0,43.0,%
Kosten & efficiënties,Elektriciteit,Gascentrales,Gasturbine,efficiency_energy_power_turbine_network_gas,,24.0,44.0,34.0,%
Kosten & efficiënties,Elektriciteit,Gascentrales,Gas conventioneel,efficiency_energy_power_ultra_supercritical_network_gas,,35.0,55.0,45.0,%
Kosten & efficiënties,Elektriciteit,Gascentrales,Gas STEG WKK - elektriciteit,efficiency_industry_chp_combined_cycle_gas_power_fuelmix_electricity,,0.0,100.0,42.0,%
Kosten & efficiënties,Elektriciteit,Gascentrales,Gas STEG WKK - warmte,efficiency_industry_chp_combined_cycle_gas_power_fuelmix_heat,,0.0,100.0,33.0,%
Kosten & efficiënties,Elektriciteit,Gascentrales,Gasmotor-WKK - elektriciteit,efficiency_industry_chp_engine_gas_power_fuelmix_electricity,,0.0,100.0,43.0,%
Kosten & efficiënties,Elektriciteit,Gascentrales,Gasmotor-WKK - warmte,efficiency_industry_chp_engine_gas_power_fuelmix_heat,,0.0,100.0,47.0,%
Kosten & efficiënties,Elektriciteit,Gascentrales,Gasturbine-WKK - elektriciteit,efficiency_industry_chp_turbine_gas_power_fuelmix_electricity,,0.0,100.0,38.0,%
Kosten & efficiënties,Elektriciteit,Gascentrales,Gasturbine-WKK - warmte,efficiency_industry_chp_turbine_gas_power_fuelmix_heat,,0.0,100.0,44.0,%
Kosten & efficiënties,Elektriciteit,Gascentrales,Gas STEG WKK - elektriciteit,external_coupling_efficiency_industry_chp_combined_cycle_gas_power_fuelmix_electricity,,10.0,90.0,42.0,%
Kosten & efficiënties,Elektriciteit,Gascentrales,Gas STEG WKK - warmte,external_coupling_efficiency_industry_chp_combined_cycle_gas_power_fuelmix_heat,,10.0,90.0,33.0,%
Kosten & efficiënties,Elektriciteit,Gascentrales,Gasmotor-WKK - elektriciteit,external_coupling_efficiency_industry_chp_engine_gas_power_fuelmix_electricity,,10.0,90.0,43.0,%
Kosten & efficiënties,Elektriciteit,Gascentrales,Gasmotor-WKK - warmte,external_coupling_efficiency_industry_chp_engine_gas_power_fuelmix_heat,,10.0,90.0,47.0,%
Kosten & efficiënties,Elektriciteit,Gascentrales,Gasturbine-WKK - elektriciteit,external_coupling_efficiency_industry_chp_turbine_gas_power_fuelmix_electricity,,10.0,90.0,38.0,%
Kosten & efficiënties,Elektriciteit,Gascentrales,Gasturbine-WKK - warmte,external_coupling_efficiency_industry_chp_turbine_gas_power_fuelmix_heat,,10.0,90.0,44.0,%
Kosten & efficiënties,Elektriciteit,Gascentrales,Investeringskosten gascentrales,investment_costs_combustion_gas_plant,,-100.0,300.0,0.0,%
Kosten & efficiënties,Elektriciteit,Gascentrales,Onderhoudskosten gascentrales,om_costs_combustion_gas_plant,,-100.0,300.0,0.0,%
Kosten & efficiënties,Elektriciteit,Kerncentrales,Kern 2e Gen,efficiency_energy_power_nuclear_gen2_uranium_oxide,,26.83,46.83,36.83,%
Kosten & efficiënties,Elektriciteit,Kerncentrales,Kern 3e Gen,efficiency_energy_power_nuclear_gen3_uranium_oxide,,26.83,46.83,36.83,%
Kosten & efficiënties,Elektriciteit,Kerncentrales,Kern kleine modulaire reactor,efficiency_energy_power_nuclear_small_modular_reactor_uranium_oxide,,18.000000000000004,38.0,28.000000000000004,%
Kosten & efficiënties,Elektriciteit,Kerncentrales,Investeringskosten grote reactoren,investment_costs_nuclear_nuclear_plant,,-100.0,300.0,0.0,%
Kosten & efficiënties,Elektriciteit,Kerncentrales,Investeringskosten kleine reactoren,investment_costs_nuclear_small_modular_reactor,,-100.0,300.0,0.0,%
Kosten & efficiënties,Elektriciteit,Kerncentrales,Onderhoudskosten grote reactoren,om_costs_nuclear_nuclear_plant,,-100.0,300.0,0.0,%
Kosten & efficiënties,Elektriciteit,Kerncentrales,Onderhoudskosten kleine reactoren,om_costs_nuclear_small_modular_reactor,,-100.0,300.0,0.0,%
Kosten & efficiënties,Elektriciteit,Oliecentrales,Dieselgenerator,efficiency_energy_power_engine_diesel,,28.0,48.0,38.0,%
Kosten & efficiënties,Elektriciteit,Oliecentrales,Oliecentrale,efficiency_energy_power_ultra_supercritical_crude_oil,,35.0,55.0,45.0,%
Kosten & efficiënties,Elektriciteit,Oliecentrales,Investeringskosten oliecentrales,investment_costs_combustion_oil_plant,,-100.0,300.0,0.0,%
Kosten & efficiënties,Elektriciteit,Oliecentrales,Onderhoudskosten oliecentrales,om_costs_combustion_oil_plant,,-100.0,300.0,0.0,%
Kosten & efficiënties,Hernieuwbare elektriciteit,Biomassacentrales,Biogas-WKK - elektriciteit,efficiency_agriculture_chp_engine_biogas_electricity,,34.0,54.0,44.0,%
